Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Label
1	Spectrogram 1	1	1189.934135234	1190.606135234	1500	6500	BTF
2	Spectrogram 1	1	1191.236503175	1191.908503175	1500	6500	BTF
3	Spectrogram 1	1	1192.693698075	1193.365698075	1500	6500	BTF
4	Spectrogram 1	1	1194.014280953	1194.686280953	1500	6500	BTF
5	Spectrogram 1	1	1199.467900529	1200.139900529	1500	6500	BTF
6	Spectrogram 1	1	1211.846063989	1212.518063989	1500	6500	BTF
7	Spectrogram 1	1	1212.81145561	1213.48345561	1500	6500	BTF
8	Spectrogram 1	1	1285.964138105	1286.636138105	1500	6500	BTF
9	Spectrogram 1	1	1286.683628087	1287.355628087	1500	6500	BTF
10	Spectrogram 1	1	1291.292006958	1291.964006958	1500	6500	BTF
11	Spectrogram 1	1	1341.654990843	1342.326990843	1500	6500	BTF
12	Spectrogram 1	1	1348.995610151	1349.667610151	1500	6500	BTF
