Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Label
1	Spectrogram 1	1	949.787581952	950.459581952	1500	6500	BTF
2	Spectrogram 1	1	952.046234047	952.718234047	1500	6500	BTF
3	Spectrogram 1	1	952.601789602	953.273789602	1500	6500	BTF
4	Spectrogram 1	1	954.423283227	955.095283227	1500	6500	BTF
5	Spectrogram 1	1	958.19377503	958.86577503	1500	6500	BTF
6	Spectrogram 1	1	959.656805877	960.328805877	1500	6500	BTF
7	Spectrogram 1	1	961.569374183	962.241374183	1500	6500	BTF
8	Spectrogram 1	1	963.099428828	963.771428828	1500	6500	BTF
10	Spectrogram 1	1	975.202546041	975.874546041	1500	6500	BTF
11	Spectrogram 1	1	981.790900152	982.462900152	1500	6500	BTF
13	Spectrogram 1	1	1311.779434416	1312.451434416	1500	6500	BTF
14	Spectrogram 1	1	1324.104403213	1324.776403213	1500	6500	BTF
15	Spectrogram 1	1	1321.891288459	1322.563288459	1500	6500	BTF
16	Spectrogram 1	1	1357.814382771	1358.486382771	1500	6500	BTF
17	Spectrogram 1	1	1354.362652352	1355.034652352	1500	6500	BTF
18	Spectrogram 1	1	1411.394080485	1412.066080485	1500	6500	BTF
19	Spectrogram 1	1	1411.995173381	1412.667173381	1500	6500	BTF
20	Spectrogram 1	1	1415.73834278	1416.41034278	1500	6500	BTF
21	Spectrogram 1	1	1427.552203131	1428.224203131	1500	6500	BTF
22	Spectrogram 1	1	1433.52233964	1434.19433964	1500	6500	BTF
23	Spectrogram 1	1	1436.209042737	1436.881042737	1500	6500	BTF
24	Spectrogram 1	1	1742.212231515	1742.884231515	1500	6500	BTF
25	Spectrogram 1	1	1744.789644994	1745.461644994	1500	6500	BTF
