Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Label
1	Spectrogram 1	1	810.179063834	810.851063834	1500	6500	BTF
2	Spectrogram 1	1	822.392244142	823.064244142	1500	6500	BTF
3	Spectrogram 1	1	826.151806983	826.823806983	1500	6500	BTF
5	Spectrogram 1	1	831.408637584	832.080637584	1500	6500	BTF
6	Spectrogram 1	1	834.561708602	835.233708602	1500	6500	BTF
7	Spectrogram 1	1	841.35952281	842.03152281	1500	6500	BTF
8	Spectrogram 1	1	841.971544668	842.643544668	1500	6500	BTF
9	Spectrogram 1	1	844.520381499	845.192381499	1500	6500	BTF
10	Spectrogram 1	1	846.542239423	847.214239423	1500	6500	BTF
11	Spectrogram 1	1	813.25010126	813.92210126	1500	6500	BTF
12	Spectrogram 1	1	816.277423665	816.949423665	1500	6500	BTF
13	Spectrogram 1	1	866.83883749	867.51083749	1500	6500	BTF
14	Spectrogram 1	1	871.396214539	872.068214539	1500	6500	BTF
15	Spectrogram 1	1	873.363427654	874.035427654	1500	6500	BTF
16	Spectrogram 1	1	879.401743748	880.073743748	1500	6500	BTF
17	Spectrogram 1	1	888.369022416	889.041022416	1500	6500	BTF
18	Spectrogram 1	1	895.134049738	895.806049738	1500	6500	BTF
19	Spectrogram 1	1	934.438190618	935.110190618	1500	6500	BTF
20	Spectrogram 1	1	937.115786246	937.787786246	1500	6500	BTF
21	Spectrogram 1	1	938.26332723	938.93532723	1500	6500	BTF
22	Spectrogram 1	1	951.316560529	951.988560529	1500	6500	BTF
23	Spectrogram 1	1	961.814782983	962.486782983	1500	6500	BTF
24	Spectrogram 1	1	964.394017956	965.066017956	1500	6500	BTF
25	Spectrogram 1	1	975.85100057	976.52300057	1500	6500	BTF
26	Spectrogram 1	1	981.107831171	981.779831171	1500	6500	BTF
27	Spectrogram 1	1	982.320945925	982.992945925	1500	6500	BTF
28	Spectrogram 1	1	988.997036462	989.669036462	1500	6500	BTF
29	Spectrogram 1	1	989.598129358	990.270129358	1500	6500	BTF
30	Spectrogram 1	1	990.581735916	991.253735916	1500	6500	BTF
31	Spectrogram 1	1	999.27264925	999.94464925	1500	6500	BTF
32	Spectrogram 1	1	1014.25324802	1014.92524802	1500	6500	BTF
33	Spectrogram 1	1	1016.078384632	1016.750384632	1500	6500	BTF
34	Spectrogram 1	1	1016.592045834	1017.264045834	1500	6500	BTF
36	Spectrogram 1	1	1027.297781966	1027.969781966	1500	6500	BTF
37	Spectrogram 1	1	1061.849010322	1062.521010322	1500	6500	BTF
38	Spectrogram 1	1	1569.177265538	1569.849265538	1500	6500	BTF
39	Spectrogram 1	1	1571.99693767	1572.66893767	1500	6500	BTF
