Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	0.061515528	0.733515528	1800	4000	NA
2	Spectrogram 1	1	2.309962733	2.981962733	1800	4000	NA
3	Spectrogram 1	1	3.924869565	4.596869565	1800	4000	NA
4	Spectrogram 1	1	5.527354037	6.199354037	1800	4000	NA
5	Spectrogram 1	1	8.17331677	8.84531677	1800	4000	NA
6	Spectrogram 1	1	10.750956556	11.422956556	1800	4000	NA
7	Spectrogram 1	1	20.769590131	21.441590131	1800	4000	NA
8	Spectrogram 1	1	21.496298205	22.168298205	1800	4000	NA
9	Spectrogram 1	1	31.359652277	32.031652277	1800	4000	NA
10	Spectrogram 1	1	33.191950414	33.863950414	1800	4000	NA
11	Spectrogram 1	1	33.750956659	34.422956659	1800	4000	NA
12	Spectrogram 1	1	36.036670945	36.708670945	1800	4000	NA
13	Spectrogram 1	1	142.895873873	143.567873873	1800	4000	NA
14	Spectrogram 1	1	155.89126746	156.56326746	1800	4000	NA
15	Spectrogram 1	1	157.487540752	158.159540752	1800	4000	NA
16	Spectrogram 1	1	374.094729555	374.766729555	1800	4000	NA
17	Spectrogram 1	1	376.715847568	377.387847568	1800	4000	NA
18	Spectrogram 1	1	377.585412785	378.257412785	1800	4000	NA
19	Spectrogram 1	1	382.678580521	383.350580521	1800	4000	NA
20	Spectrogram 1	1	383.007773068	383.679773068	1800	4000	NA
21	Spectrogram 1	1	384.63510226	385.30710226	1800	4000	NA
22	Spectrogram 1	1	384.759325863	385.431325863	1800	4000	NA
23	Spectrogram 1	1	387.330754434	388.002754434	1800	4000	NA
24	Spectrogram 1	1	388.013984248	388.685984248	1800	4000	NA
25	Spectrogram 1	1	389.237586767	389.909586767	1800	4000	NA
26	Spectrogram 1	1	389.740692357	390.412692357	1800	4000	NA
27	Spectrogram 1	1	390.604046394	391.276046394	1800	4000	NA
28	Spectrogram 1	1	391.802804158	392.474804158	1800	4000	NA
29	Spectrogram 1	1	393.517089872	394.189089872	1800	4000	NA
30	Spectrogram 1	1	401.026406677	401.698406677	1800	4000	NA
31	Spectrogram 1	1	410.336965718	411.008965718	1800	4000	NA
32	Spectrogram 1	1	414.281064303	414.953064303	1800	4000	NA
33	Spectrogram 1	1	416.566778589	417.238778589	1800	4000	NA
34	Spectrogram 1	1	427.233720011	427.905720011	1800	4000	NA
35	Spectrogram 1	1	428.370365974	429.042365974	1800	4000	NA
36	Spectrogram 1	1	643.136377033	643.808377033	1800	4000	NA
37	Spectrogram 1	1	644.850662748	645.522662748	1800	4000	NA
38	Spectrogram 1	1	646.217122375	646.889122375	1800	4000	NA
39	Spectrogram 1	1	649.26060067	649.93260067	1800	4000	NA
40	Spectrogram 1	1	651.105321167	651.777321167	1800	4000	NA
41	Spectrogram 1	1	654.788550187	655.460550187	1800	4000	NA
42	Spectrogram 1	1	656.459357641	657.131357641	1800	4000	NA
43	Spectrogram 1	1	1296.847562033	1297.519562033	1800	4000	NA
44	Spectrogram 1	1	1298.300978183	1298.972978183	1800	4000	NA
45	Spectrogram 1	1	1299.257499922	1299.929499922	1800	4000	NA
46	Spectrogram 1	1	1307.977996023	1308.649996023	1800	4000	NA
47	Spectrogram 1	1	1308.630169936	1309.302169936	1800	4000	NA
48	Spectrogram 1	1	1311.214020902	1311.886020902	1800	4000	NA
49	Spectrogram 1	1	1415.17669774	1415.84869774	1800	4000	NA
