Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	54.037754705	54.709754705	1500	6500	0	0	-80.9	NA
2	Spectrogram 1	1	56.61000904	57.28200904	1500	6500	0	0	-81.88	NA
3	Spectrogram 1	1	57.657696901	58.329696901	1500	6500	0	0	-75.73	NA
4	Spectrogram 1	1	59.485731583	60.157731583	1500	6500	0	0	-81.03	NA
5	Spectrogram 1	1	61.602783606	62.274783606	1500	6500	0	0	-86.75	NA
6	Spectrogram 1	1	215.499782412	216.171782412	1500	6500	0	0	-75.67	NA
7	Spectrogram 1	1	219.047470274	219.719470274	1500	6500	0	0	-83.06	NA
8	Spectrogram 1	1	220.694869118	221.366869118	1500	6500	0	0	-103.23	NA
9	Spectrogram 1	1	222.363944097	223.035944097	1500	6500	0	0	-81.47	NA
10	Spectrogram 1	1	223.628394964	224.300394964	1500	6500	0	0	-83.38	NA
11	Spectrogram 1	1	225.62984005	226.30184005	1500	6500	0	0	-83.32	NA
12	Spectrogram 1	1	226.417412305	227.089412305	1500	6500	0	0	-79.96	NA
13	Spectrogram 1	1	227.053250455	227.725250455	1500	6500	0	0	-71.3	NA
14	Spectrogram 1	1	227.631285137	228.303285137	1500	6500	0	0	-79.3	NA
15	Spectrogram 1	1	234.220879507	234.892879507	1500	6500	0	0	-84.74	NA
16	Spectrogram 1	1	257.461196426	258.133196426	1500	6500	0	0	-91.22	NA
17	Spectrogram 1	1	260.517554808	261.189554808	1500	6500	0	0	-86.27	NA
18	Spectrogram 1	1	261.615820704	262.287820704	1500	6500	0	0	-84.62	NA
19	Spectrogram 1	1	262.873046137	263.545046137	1500	6500	0	0	-81.57	NA
20	Spectrogram 1	1	264.686629952	265.358629952	1500	6500	0	0	-77.91	NA
21	Spectrogram 1	1	264.188075039	264.860075039	1500	6500	0	0	-80.09	NA
22	Spectrogram 1	1	272.959751174	273.631751174	1500	6500	0	0	-79.07	NA
23	Spectrogram 1	1	277.273334824	277.945334824	1500	6500	0	0	-85.36	NA
24	Spectrogram 1	1	280.069577598	280.741577598	1500	6500	0	0	-76.67	NA
25	Spectrogram 1	1	283.292120785	283.964120785	1500	6500	0	0	-77.59	NA
26	Spectrogram 1	1	487.600506135	488.272506135	1500	6500	0	0	-78.15	NA
