Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	2.925484656	3.597484656	1500	6500	0	0	-65.95	NA
2	Spectrogram 1	1	11.747738825	12.419738825	1500	6500	0	0	-69.57	NA
3	Spectrogram 1	1	12.838779288	13.510779288	1500	6500	0	0	-88.31	NA
4	Spectrogram 1	1	13.424039403	14.096039403	1500	6500	0	0	-83.13	NA
5	Spectrogram 1	1	15.100339981	15.772339981	1500	6500	0	0	-81.12	NA
6	Spectrogram 1	1	18.091669461	18.763669461	1500	6500	0	0	-86.87	NA
7	Spectrogram 1	1	18.973172351	19.645172351	1500	6500	0	0	-95.32	NA
8	Spectrogram 1	1	22.665368718	23.337368718	1500	6500	0	0	-83.51	NA
9	Spectrogram 1	1	23.684154845	24.356154845	1500	6500	0	0	-71.92	NA
10	Spectrogram 1	1	26.791091261	27.463091261	1500	6500	0	0	-85.55	NA
11	Spectrogram 1	1	24.659588371	25.331588371	1500	6500	0	0	-73.71	NA
12	Spectrogram 1	1	25.584443862	26.256443862	1500	6500	0	0	-79.4	NA
13	Spectrogram 1	1	28.590224043	29.262224043	1500	6500	0	0	-81.18	NA
14	Spectrogram 1	1	30.765079535	31.437079535	1500	6500	0	0	-80.47	NA
15	Spectrogram 1	1	31.581553523	32.253553523	1500	6500	0	0	-81.71	NA
16	Spectrogram 1	1	52.996367146	53.668367146	1500	6500	0	0	-69.47	NA
17	Spectrogram 1	1	55.033939401	55.705939401	1500	6500	0	0	-61.73	NA
18	Spectrogram 1	1	56.710239979	57.382239979	1500	6500	0	0	-69.77	NA
19	Spectrogram 1	1	58.964575239	59.636575239	1500	6500	0	0	-60.57	NA
20	Spectrogram 1	1	60.250702407	60.922702407	1500	6500	0	0	-79.36	NA
21	Spectrogram 1	1	62.273822788	62.945822788	1500	6500	0	0	-65.75	NA
22	Spectrogram 1	1	70.720354414	71.392354414	1500	6500	0	0	-88.93	NA
23	Spectrogram 1	1	75.308504703	75.980504703	1500	6500	0	0	-74.52	NA
24	Spectrogram 1	1	97.43763441	98.10963441	1500	6500	0	0	-60.16	NA
25	Spectrogram 1	1	98.767114179	99.439114179	1500	6500	0	0	-66.02	NA
26	Spectrogram 1	1	100.616825161	101.288825161	1500	6500	0	0	-88.55	NA
27	Spectrogram 1	1	99.612489901	100.284489901	1500	6500	0	0	-82.19	NA
28	Spectrogram 1	1	220.011767535	220.683767535	1500	6500	0	0	-82.9	NA
29	Spectrogram 1	1	228.487200895	229.159200895	1500	6500	0	0	-81.19	NA
30	Spectrogram 1	1	230.221304942	230.893304942	1500	6500	0	0	-80.69	NA
31	Spectrogram 1	1	231.825351184	232.497351184	1500	6500	0	0	-71.81	NA
32	Spectrogram 1	1	236.203963736	236.875963736	1500	6500	0	0	-80.65	NA
33	Spectrogram 1	1	238.11870362	238.79070362	1500	6500	0	0	-71.15	NA
34	Spectrogram 1	1	241.203963736	241.875963736	1500	6500	0	0	-74.61	NA
35	Spectrogram 1	1	243.162056221	243.834056221	1500	6500	0	0	-84.23	NA
36	Spectrogram 1	1	244.946738302	245.618738302	1500	6500	0	0	-71.08	NA
38	Spectrogram 1	1	302.16186916	302.83386916	1500	6500	0	0	-82.8	NA
39	Spectrogram 1	1	303.375741992	304.047741992	1500	6500	0	0	-77.46	NA
40	Spectrogram 1	1	306.432100208	307.104100208	1500	6500	0	0	-70.12	NA
41	Spectrogram 1	1	307.848285179	308.520285179	1500	6500	0	0	-79.57	NA
42	Spectrogram 1	1	309.495684023	310.167684023	1500	6500	0	0	-80.69	NA
43	Spectrogram 1	1	310.854065526	311.526065526	1500	6500	0	0	-88.39	NA
44	Spectrogram 1	1	312.364181133	313.036181133	1500	6500	0	0	-77.13	NA
45	Spectrogram 1	1	313.989903676	314.661903676	1500	6500	0	0	-71.73	NA
46	Spectrogram 1	1	317.906088482	318.578088482	1500	6500	0	0	-81.44	NA
47	Spectrogram 1	1	500.525542417	501.197542417	1500	6500	0	0	-85.47	NA
48	Spectrogram 1	1	502.245195596	502.917195596	1500	6500	0	0	-85.67	NA
49	Spectrogram 1	1	504.224964382	504.896964382	1500	6500	0	0	-81.9	NA
50	Spectrogram 1	1	506.443172475	507.115172475	1500	6500	0	0	-84.92	NA
51	Spectrogram 1	1	535.331312216	536.003312216	1500	6500	0	0	-83.13	NA
52	Spectrogram 1	1	544.688248467	545.360248467	1500	6500	0	0	-81.18	NA
53	Spectrogram 1	1	551.082756972	551.754756972	1500	6500	0	0	-89.98	NA
54	Spectrogram 1	1	1379.28181642	1379.95381642	1500	6500	0	0	-84.09	NA
55	Spectrogram 1	1	1419.077259786	1419.749259786	1500	6500	0	0	-77.52	NA
56	Spectrogram 1	1	1421.064254006	1421.736254006	1500	6500	0	0	-78.67	NA
57	Spectrogram 1	1	1424.980438977	1425.652438977	1500	6500	0	0	-78.38	NA
58	Spectrogram 1	1	1470.792503757	1471.464503757	1500	6500	0	0	-69.29	NA
59	Spectrogram 1	1	1471.847417052	1472.519417052	1500	6500	0	0	-67.38	NA
60	Spectrogram 1	1	1473.169671387	1473.841671387	1500	6500	0	0	-74.29	NA
61	Spectrogram 1	1	1474.224584682	1474.896584682	1500	6500	0	0	-61.14	NA
62	Spectrogram 1	1	1474.694237861	1475.366237861	1500	6500	0	0	-61.11	NA
63	Spectrogram 1	1	1476.095971966	1476.767971966	1500	6500	0	0	-76.3	NA
64	Spectrogram 1	1	1478.191347688	1478.863347688	1500	6500	0	0	-69.28	NA
65	Spectrogram 1	1	1479.99770607	1480.66970607	1500	6500	0	0	-71.23	NA
66	Spectrogram 1	1	1513.136968178	1513.808968178	1500	6500	0	0	-76.58	NA
67	Spectrogram 1	1	1518.064713677	1518.736713677	1500	6500	0	0	-79.21	NA
68	Spectrogram 1	1	1522.183210787	1522.855210787	1500	6500	0	0	-80.44	NA
69	Spectrogram 1	1	1510.254020201	1510.926020201	1500	6500	0	0	-77.07	NA
70	Spectrogram 1	1	1527.891303107	1528.563303107	1500	6500	0	0	-81.54	NA
71	Spectrogram 1	1	1525.788701951	1526.460701951	1500	6500	0	0	-77.96	NA
