Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	15.116263181	15.788263181	1500	6500	0	0	-95.51	NA
2	Spectrogram 1	1	16.209228005	16.881228005	1500	6500	0	0	-78.87	NA
3	Spectrogram 1	1	21.228072227	21.900072227	1500	6500	0	0	-82.81	NA
4	Spectrogram 1	1	28.426564529	29.098564529	1500	6500	0	0	-83.78	NA
5	Spectrogram 1	1	28.922795684	29.594795684	1500	6500	0	0	-87.39	NA
6	Spectrogram 1	1	29.921539243	30.593539243	1500	6500	0	0	-74.83	NA
7	Spectrogram 1	1	30.474303062	31.146303062	1500	6500	0	0	-91.69	NA
8	Spectrogram 1	1	31.661488991	32.333488991	1500	6500	0	0	-89.73	NA
9	Spectrogram 1	1	33.753197534	34.425197534	1500	6500	0	0	-88.06	NA
10	Spectrogram 1	1	34.299679946	34.971679946	1500	6500	0	0	-82.8	NA
11	Spectrogram 1	1	34.795911102	35.467911102	1500	6500	0	0	-87.09	NA
12	Spectrogram 1	1	35.16023271	35.83223271	1500	6500	0	0	-88.29	NA
13	Spectrogram 1	1	36.184102057	36.856102057	1500	6500	0	0	-91.85	NA
14	Spectrogram 1	1	39.645157173	40.317157173	1500	6500	0	0	-91.5	NA
15	Spectrogram 1	1	37.559730037	38.231730037	1500	6500	0	0	-83.1	NA
16	Spectrogram 1	1	61.391387847	62.063387847	1500	6500	0	0	-85.77	NA
17	Spectrogram 1	1	68.169026038	68.841026038	1500	6500	0	0	-92.34	NA
18	Spectrogram 1	1	85.518271789	86.190271789	1500	6500	0	0	-75.69	NA
19	Spectrogram 1	1	86.636362241	87.308362241	1500	6500	0	0	-88.73	NA
20	Spectrogram 1	1	123.137617881	123.809617881	1500	6500	0	0	-77.72	NA
21	Spectrogram 1	1	209.419014146	210.091014146	1500	6500	0	0	-84.61	NA
22	Spectrogram 1	1	210.009466407	210.681466407	1500	6500	0	0	-78.99	NA
23	Spectrogram 1	1	212.113737764	212.785737764	1500	6500	0	0	-80.7	NA
24	Spectrogram 1	1	215.097406106	215.769406106	1500	6500	0	0	-89.03	NA
25	Spectrogram 1	1	216.692883493	217.364883493	1500	6500	0	0	-90.44	NA
26	Spectrogram 1	1	217.094893383	217.766893383	1500	6500	0	0	-82.58	NA
27	Spectrogram 1	1	221.202933584	221.874933584	1500	6500	0	0	-76.36	NA
28	Spectrogram 1	1	222.170270267	222.842270267	1500	6500	0	0	-77.58	NA
29	Spectrogram 1	1	223.803436096	224.475436096	1500	6500	0	0	-73.96	NA
30	Spectrogram 1	1	226.334842971	227.006842971	1500	6500	0	0	-80.91	NA
31	Spectrogram 1	1	228.70921483	229.38121483	1500	6500	0	0	-82.85	NA
32	Spectrogram 1	1	229.846149504	230.518149504	1500	6500	0	0	-72.21	NA
33	Spectrogram 1	1	230.926551514	231.598551514	1500	6500	0	0	-81.94	NA
34	Spectrogram 1	1	229.205445986	229.877445986	1500	6500	0	0	-79.13	NA
35	Spectrogram 1	1	236.498158559	237.170158559	1500	6500	0	0	-78.97	NA
36	Spectrogram 1	1	237.038359564	237.710359564	1500	6500	0	0	-84.52	NA
37	Spectrogram 1	1	238.571022881	239.243022881	1500	6500	0	0	-96.11	NA
38	Spectrogram 1	1	240.983083022	241.655083022	1500	6500	0	0	-89.56	NA
39	Spectrogram 1	1	243.018258901	243.690258901	1500	6500	0	0	-105.03	NA
