Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	54.227533493	54.899533493	1800	4000	NA
2	Spectrogram 1	1	58.370390636	59.042390636	1800	4000	NA
3	Spectrogram 1	1	59.811384459	60.483384459	1800	4000	NA
4	Spectrogram 1	1	61.109521105	61.781521105	1800	4000	NA
5	Spectrogram 1	1	62.413868931	63.085868931	1800	4000	NA
6	Spectrogram 1	1	68.867285115	69.539285115	1800	4000	NA
7	Spectrogram 1	1	69.991508717	70.663508717	1800	4000	NA
8	Spectrogram 1	1	86.334642492	87.006642492	1800	4000	NA
9	Spectrogram 1	1	90.024083486	90.696083486	1800	4000	NA
10	Spectrogram 1	1	121.155080751	121.827080751	1800	4000	NA
11	Spectrogram 1	1	121.856944105	122.528944105	1800	4000	NA
12	Spectrogram 1	1	122.248248453	122.920248453	1800	4000	NA
13	Spectrogram 1	1	130.751354078	131.423354078	1800	4000	NA
14	Spectrogram 1	1	325.413879746	326.085879746	1800	4000	NA
15	Spectrogram 1	1	329.929407697	330.601407697	1800	4000	NA
16	Spectrogram 1	1	1225.904815663	1226.576815663	1800	4000	NA
