Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	229.246856179	229.918856179	1500	6500	0	0	-59.1	NA
2	Spectrogram 1	1	226.212936581	226.884936581	1500	6500	0	0	-64.72	NA
3	Spectrogram 1	1	227.852383817	228.524383817	1500	6500	0	0	-78.05	NA
4	Spectrogram 1	1	230.553388842	231.225388842	1500	6500	0	0	-88.75	NA
5	Spectrogram 1	1	237.293338787	237.965338787	1500	6500	0	0	-76.57	NA
6	Spectrogram 1	1	242.05464532	242.72664532	1500	6500	0	0	-72.67	NA
8	Spectrogram 1	1	254.24057536	254.91257536	1500	6500	0	0	-98.44	NA
9	Spectrogram 1	1	287.026008218	287.698008218	1500	6500	0	0	-80.81	NA
10	Spectrogram 1	1	290.292339877	290.964339877	1500	6500	0	0	-80.71	NA
11	Spectrogram 1	1	293.269726811	293.941726811	1500	6500	0	0	-82.49	NA
12	Spectrogram 1	1	295.210681585	295.882681585	1500	6500	0	0	-66.52	NA
13	Spectrogram 1	1	296.856410425	297.528410425	1500	6500	0	0	-77.34	NA
14	Spectrogram 1	1	298.2634456	298.9354456	1500	6500	0	0	-65.25	NA
15	Spectrogram 1	1	820.026861342	820.698861342	1500	6500	0	0	-80.31	NA
16	Spectrogram 1	1	821.427615111	822.099615111	1500	6500	0	0	-78.48	NA
17	Spectrogram 1	1	823.877363854	824.549363854	1500	6500	0	0	-70.56	NA
