Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	112.981779139	113.653779139	1500	6500	0	0	-83.46	NA
2	Spectrogram 1	1	116.616172202	117.288172202	1500	6500	0	0	-83.27	NA
3	Spectrogram 1	1	117.078599948	117.750599948	1500	6500	0	0	-88.32	NA
4	Spectrogram 1	1	123.147964399	123.819964399	1500	6500	0	0	-80.33	NA
5	Spectrogram 1	1	124.896519313	125.568519313	1500	6500	0	0	-86.64	NA
6	Spectrogram 1	1	130.778022493	131.450022493	1500	6500	0	0	-78	NA
7	Spectrogram 1	1	132.020797059	132.692797059	1500	6500	0	0	-76.82	NA
8	Spectrogram 1	1	141.233225094	141.905225094	1500	6500	0	0	-83.85	NA
10	Spectrogram 1	1	145.554034632	146.226034632	1500	6500	0	0	-77.09	NA
11	Spectrogram 1	1	151.247676251	151.919676251	1500	6500	0	0	-89.99	NA
12	Spectrogram 1	1	156.334381743	157.006381743	1500	6500	0	0	-88.96	NA
