Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	75.816657748	76.488657748	1800	4000	NA
2	Spectrogram 1	1	415.802767589	416.474767589	1800	4000	NA
3	Spectrogram 1	1	469.135002931	469.807002931	1800	4000	NA
4	Spectrogram 1	1	470.619474981	471.291474981	1800	4000	NA
5	Spectrogram 1	1	473.004568148	473.676568148	1800	4000	NA
6	Spectrogram 1	1	474.371027776	475.043027776	1800	4000	NA
7	Spectrogram 1	1	556.126896512	556.798896512	1800	4000	NA
8	Spectrogram 1	1	559.605157382	560.277157382	1800	4000	NA
9	Spectrogram 1	1	563.480933779	564.152933779	1800	4000	NA
10	Spectrogram 1	1	930.695597528	931.367597528	1800	4000	NA
11	Spectrogram 1	1	932.397460882	933.069460882	1800	4000	NA
12	Spectrogram 1	1	996.063075039	996.735075039	1800	4000	NA
13	Spectrogram 1	1	1374.963880714	1375.635880714	1800	4000	NA
14	Spectrogram 1	1	1389.175058951	1389.847058951	1800	4000	NA
15	Spectrogram 1	1	1387.162636591	1387.834636591	1800	4000	NA
16	Spectrogram 1	1	1385.58499684	1386.25699684	1800	4000	NA
17	Spectrogram 1	1	1452.515332972	1453.187332972	1800	4000	NA
18	Spectrogram 1	1	1454.993593841	1455.665593841	1800	4000	NA
19	Spectrogram 1	1	1456.838314536	1457.510314536	1800	4000	NA
20	Spectrogram 1	1	1459.838314536	1460.510314536	1800	4000	NA
21	Spectrogram 1	1	1461.260674785	1461.932674785	1800	4000	NA
22	Spectrogram 1	1	1463.210985344	1463.882985344	1800	4000	NA
23	Spectrogram 1	1	1464.552600449	1465.224600449	1800	4000	NA
24	Spectrogram 1	1	1482.632407401	1483.304407401	1800	4000	NA
25	Spectrogram 1	1	1484.58892914	1485.26092914	1800	4000	NA
26	Spectrogram 1	1	1486.408804917	1487.080804917	1800	4000	NA
27	Spectrogram 1	1	1543.651528668	1544.323528668	1800	4000	NA
28	Spectrogram 1	1	1544.340969662	1545.012969662	1800	4000	NA
29	Spectrogram 1	1	1555.339321606	1556.011321606	1800	4000	NA
30	Spectrogram 1	1	1565.457334226	1566.129334226	1800	4000	NA
31	Spectrogram 1	1	1566.184042499	1566.856042499	1800	4000	NA
32	Spectrogram 1	1	1581.382330311	1582.054330311	1800	4000	NA
33	Spectrogram 1	1	1629.358210406	1630.030210406	1800	4000	NA
34	Spectrogram 1	1	1630.612868791	1631.284868791	1800	4000	NA
35	Spectrogram 1	1	1632.084918481	1632.756918481	1800	4000	NA
36	Spectrogram 1	1	1629.979328419	1630.651328419	1800	4000	NA
37	Spectrogram 1	1	1629.05386258	1629.72586258	1800	4000	NA
38	Spectrogram 1	1	1638.867527375	1639.539527375	1800	4000	NA
39	Spectrogram 1	1	1639.699825511	1640.371825511	1800	4000	NA
40	Spectrogram 1	1	1640.004173337	1640.676173337	1800	4000	NA
41	Spectrogram 1	1	1640.842682654	1641.514682654	1800	4000	NA
42	Spectrogram 1	1	1641.1408193	1641.8128193	1800	4000	NA
43	Spectrogram 1	1	1641.911005834	1642.583005834	1800	4000	NA
44	Spectrogram 1	1	1643.035229436	1643.707229436	1800	4000	NA
45	Spectrogram 1	1	1644.178086579	1644.850086579	1800	4000	NA
46	Spectrogram 1	1	1645.855105213	1646.527105213	1800	4000	NA
47	Spectrogram 1	1	1706.03029051	1706.70229051	1800	4000	NA
48	Spectrogram 1	1	1708.651408523	1709.323408523	1800	4000	NA
49	Spectrogram 1	1	1710.353271877	1711.025271877	1800	4000	NA
50	Spectrogram 1	1	1711.756998585	1712.428998585	1800	4000	NA
51	Spectrogram 1	1	1713.5023402	1714.1743402	1800	4000	NA
52	Spectrogram 1	1	1717.359483255	1718.031483255	1800	4000	NA
53	Spectrogram 1	1	1720.483706858	1721.155706858	1800	4000	NA
54	Spectrogram 1	1	1727.496129416	1728.168129416	1800	4000	NA
55	Spectrogram 1	1	1727.788054882	1728.460054882	1800	4000	NA
56	Spectrogram 1	1	1730.278738112	1730.950738112	1800	4000	NA
57	Spectrogram 1	1	1730.800477242	1731.472477242	1800	4000	NA
58	Spectrogram 1	1	1732.378117192	1733.050117192	1800	4000	NA
59	Spectrogram 1	1	1733.024079925	1733.696079925	1800	4000	NA
60	Spectrogram 1	1	1733.614142037	1734.286142037	1800	4000	NA
61	Spectrogram 1	1	1738.446440174	1739.118440174	1800	4000	NA
62	Spectrogram 1	1	1746.390539751	1747.062539751	1800	4000	NA
63	Spectrogram 1	1	1749.42159585	1750.09359585	1800	4000	NA
64	Spectrogram 1	1	1761.583086731	1762.255086731	1800	4000	NA
65	Spectrogram 1	1	1758.837745116	1759.509745116	1800	4000	NA
66	Spectrogram 1	1	1761.210415924	1761.882415924	1800	4000	NA
