Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	421.006613963	421.678613963	1500	6500	0	0	-89.39	NA
2	Spectrogram 1	1	422.075978125	422.747978125	1500	6500	0	0	-92.69	NA
3	Spectrogram 1	1	423.434359628	424.106359628	1500	6500	0	0	-80	NA
4	Spectrogram 1	1	424.460371188	425.132371188	1500	6500	0	0	-84.22	NA
5	Spectrogram 1	1	425.182914541	425.854914541	1500	6500	0	0	-78.59	NA
6	Spectrogram 1	1	427.552856738	428.224856738	1500	6500	0	0	-90.69	NA
7	Spectrogram 1	1	439.162409413	439.834409413	1500	6500	0	0	-84.35	NA
8	Spectrogram 1	1	440.441311147	441.113311147	1500	6500	0	0	-80.38	NA
9	Spectrogram 1	1	441.525126176	442.197126176	1500	6500	0	0	-90.86	NA
10	Spectrogram 1	1	442.319923864	442.991923864	1500	6500	0	0	-91.66	NA
11	Spectrogram 1	1	442.529461436	443.201461436	1500	6500	0	0	-81.44	NA
12	Spectrogram 1	1	444.856051032	445.528051032	1500	6500	0	0	-86.66	NA
13	Spectrogram 1	1	446.611831379	447.283831379	1500	6500	0	0	-95.35	NA
14	Spectrogram 1	1	447.738999009	448.410999009	1500	6500	0	0	-82.05	NA
15	Spectrogram 1	1	448.952871372	449.624871372	1500	6500	0	0	-80.42	NA
16	Spectrogram 1	1	449.567033222	450.239033222	1500	6500	0	0	-88.95	NA
17	Spectrogram 1	1	450.065588135	450.737588135	1500	6500	0	0	-100.55	NA
18	Spectrogram 1	1	451.004894494	451.676894494	1500	6500	0	0	-85.86	NA
19	Spectrogram 1	1	452.030906054	452.702906054	1500	6500	0	0	-84.91	NA
20	Spectrogram 1	1	452.847380043	453.519380043	1500	6500	0	0	-93.56	NA
21	Spectrogram 1	1	453.425414725	454.097414725	1500	6500	0	0	-91.52	NA
22	Spectrogram 1	1	454.754894494	455.426894494	1500	6500	0	0	-87.54	NA
23	Spectrogram 1	1	462.457206993	463.129206993	1500	6500	0	0	-84.6	NA
24	Spectrogram 1	1	458.468767687	459.140767687	1500	6500	0	0	-101.89	NA
25	Spectrogram 1	1	459.502004681	460.174004681	1500	6500	0	0	-86.19	NA
26	Spectrogram 1	1	460.181195433	460.853195433	1500	6500	0	0	-85.24	NA
27	Spectrogram 1	1	460.780906415	461.452906415	1500	6500	0	0	-79.98	NA
28	Spectrogram 1	1	461.734663641	462.406663641	1500	6500	0	0	-106.72	NA
29	Spectrogram 1	1	463.786686762	464.458686762	1500	6500	0	0	-83.01	NA
30	Spectrogram 1	1	465.354606198	466.026606198	1500	6500	0	0	-88.72	NA
31	Spectrogram 1	1	466.185531053	466.857531053	1500	6500	0	0	-84.01	NA
32	Spectrogram 1	1	467.493334522	468.165334522	1500	6500	0	0	-87.59	NA
33	Spectrogram 1	1	469.162409666	469.834409666	1500	6500	0	0	-87.99	NA
34	Spectrogram 1	1	469.55980851	470.23180851	1500	6500	0	0	-90.52	NA
35	Spectrogram 1	1	470.275126429	470.947126429	1500	6500	0	0	-90.4	NA
36	Spectrogram 1	1	472.023681342	472.695681342	1500	6500	0	0	-94.48	NA
37	Spectrogram 1	1	473.150849333	473.822849333	1500	6500	0	0	-84.58	NA
38	Spectrogram 1	1	474.4153002	475.0873002	1500	6500	0	0	-84.8	NA
39	Spectrogram 1	1	479.039577657	479.711577657	1500	6500	0	0	-97.4	NA
41	Spectrogram 1	1	528.07002047	528.74202047	1500	6500	0	0	-72.78	NA
42	Spectrogram 1	1	528.698633187	529.370633187	1500	6500	0	0	-84.54	NA
43	Spectrogram 1	1	529.42117654	530.09317654	1500	6500	0	0	-96.97	NA
44	Spectrogram 1	1	564.325918737	564.997918737	1500	6500	0	0	-79.33	NA
45	Spectrogram 1	1	568.018115269	568.690115269	1500	6500	0	0	-78.66	NA
46	Spectrogram 1	1	569.362045904	570.034045904	1500	6500	0	0	-73.04	NA
47	Spectrogram 1	1	583.013791246	583.685791246	1500	6500	0	0	-77.13	NA
48	Spectrogram 1	1	585.116392402	585.788392402	1500	6500	0	0	-76.74	NA
49	Spectrogram 1	1	591.250785466	591.922785466	1500	6500	0	0	-74.98	NA
50	Spectrogram 1	1	588.158299916	588.830299916	1500	6500	0	0	-75.91	NA
51	Spectrogram 1	1	618.175610013	618.847610013	1500	6500	0	0	-80.12	NA
52	Spectrogram 1	1	624.302777643	624.974777643	1500	6500	0	0	-75.39	NA
53	Spectrogram 1	1	627.597575691	628.269575691	1500	6500	0	0	-69.27	NA
54	Spectrogram 1	1	629.649598813	630.321598813	1500	6500	0	0	-76.96	NA
55	Spectrogram 1	1	630.849020778	631.521020778	1500	6500	0	0	-82.24	NA
56	Spectrogram 1	1	631.217517888	631.889517888	1500	6500	0	0	-66.68	NA
57	Spectrogram 1	1	633.847575691	634.519575691	1500	6500	0	0	-79.3	NA
58	Spectrogram 1	1	635.242084723	635.914084723	1500	6500	0	0	-77.93	NA
59	Spectrogram 1	1	636.62936796	637.30136796	1500	6500	0	0	-84.6	NA
60	Spectrogram 1	1	638.558558711	639.230558711	1500	6500	0	0	-82.34	NA
61	Spectrogram 1	1	640.480524029	641.152524029	1500	6500	0	0	-69.38	NA
62	Spectrogram 1	1	641.687171428	642.359171428	1500	6500	0	0	-71.15	NA
63	Spectrogram 1	1	664.543305852	665.215305852	1500	6500	0	0	-63.61	NA
64	Spectrogram 1	1	667.014404118	667.686404118	1500	6500	0	0	-80.78	NA
65	Spectrogram 1	1	671.46527117	672.13727117	1500	6500	0	0	-63.42	NA
66	Spectrogram 1	1	669.622785621	670.294785621	1500	6500	0	0	-69.01	NA
67	Spectrogram 1	1	672.71527117	673.38727117	1500	6500	0	0	-67.42	NA
68	Spectrogram 1	1	674.94793049	675.61993049	1500	6500	0	0	-67.32	NA
69	Spectrogram 1	1	675.56209234	676.23409234	1500	6500	0	0	-78.14	NA
70	Spectrogram 1	1	676.07509812	676.74709812	1500	6500	0	0	-64.87	NA
71	Spectrogram 1	1	678.314982514	678.986982514	1500	6500	0	0	-71.19	NA
72	Spectrogram 1	1	679.008624132	679.680624132	1500	6500	0	0	-69.69	NA
73	Spectrogram 1	1	680.68492471	681.35692471	1500	6500	0	0	-71.01	NA
74	Spectrogram 1	1	682.310647614	682.982647614	1500	6500	0	0	-71.63	NA
75	Spectrogram 1	1	681.710936631	682.382936631	1500	6500	0	0	-63.88	NA
76	Spectrogram 1	1	683.235503105	683.907503105	1500	6500	0	0	-64.51	NA
77	Spectrogram 1	1	684.312092701	684.984092701	1500	6500	0	0	-62.09	NA
78	Spectrogram 1	1	685.244173626	685.916173626	1500	6500	0	0	-65.15	NA
79	Spectrogram 1	1	686.624231429	687.296231429	1500	6500	0	0	-61.67	NA
80	Spectrogram 1	1	687.816427961	688.488427961	1500	6500	0	0	-81.53	NA
81	Spectrogram 1	1	689.875676877	690.547676877	1500	6500	0	0	-63.04	NA
82	Spectrogram 1	1	690.236948553	690.908948553	1500	6500	0	0	-66.85	NA
83	Spectrogram 1	1	695.453711559	696.125711559	1500	6500	0	0	-74.26	NA
84	Spectrogram 1	1	698.040417122	698.712417122	1500	6500	0	0	-76.5	NA
85	Spectrogram 1	1	698.683480706	699.355480706	1500	6500	0	0	-61.82	NA
