Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	628.538245466	629.210245466	1500	6500	NA
2	Spectrogram 1	1	631.364332423	632.036332423	1500	6500	NA
3	Spectrogram 1	1	632.693524969	633.365524969	1500	6500	NA
4	Spectrogram 1	1	1126.647944818	1127.319944818	1500	6500	NA
5	Spectrogram 1	1	1129.088938607	1129.760938607	1500	6500	NA
6	Spectrogram 1	1	1132.610677738	1133.282677738	1500	6500	NA
7	Spectrogram 1	1	1149.160033442	1149.832033442	1500	6500	NA
8	Spectrogram 1	1	1149.53270425	1150.20470425	1500	6500	NA
9	Spectrogram 1	1	1150.04202102	1150.71402102	1500	6500	NA
10	Spectrogram 1	1	1150.656927852	1151.328927852	1500	6500	NA
11	Spectrogram 1	1	1151.228356424	1151.900356424	1500	6500	NA
12	Spectrogram 1	1	1152.104132821	1152.776132821	1500	6500	NA
13	Spectrogram 1	1	1154.203511703	1154.875511703	1500	6500	NA
14	Spectrogram 1	1	1154.830840896	1155.502840896	1500	6500	NA
15	Spectrogram 1	1	1159.8929523	1160.5649523	1500	6500	NA
16	Spectrogram 1	1	1160.87431876	1161.54631876	1500	6500	NA
17	Spectrogram 1	1	1161.066865344	1161.738865344	1500	6500	NA
18	Spectrogram 1	1	1162.569970934	1163.241970934	1500	6500	NA
19	Spectrogram 1	1	1167.178666189	1167.850666189	1500	6500	NA
20	Spectrogram 1	1	1167.874318363	1168.546318363	1500	6500	NA
21	Spectrogram 1	1	1168.333945692	1169.005945692	1500	6500	NA
22	Spectrogram 1	1	1168.774939481	1169.446939481	1500	6500	NA
23	Spectrogram 1	1	1169.290467431	1169.962467431	1500	6500	NA
24	Spectrogram 1	1	1171.265622711	1171.937622711	1500	6500	NA
25	Spectrogram 1	1	1171.917796624	1172.589796624	1500	6500	NA
26	Spectrogram 1	1	1174.433324177	1175.105324177	1500	6500	NA
27	Spectrogram 1	1	1178.638293121	1179.310293121	1500	6500	NA
28	Spectrogram 1	1	1180.948851731	1181.620851731	1500	6500	NA
29	Spectrogram 1	1	1181.563758563	1182.235758563	1500	6500	NA
30	Spectrogram 1	1	1186.197298936	1186.869298936	1500	6500	NA
31	Spectrogram 1	1	1272.570908086	1273.242908086	1500	6500	NA
33	Spectrogram 1	1	1280.142336261	1280.814336261	1500	6500	NA
34	Spectrogram 1	1	1283.390780571	1284.062780571	1500	6500	NA
35	Spectrogram 1	1	1286.962209143	1287.634209143	1500	6500	NA
