Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	50.486100417	51.158100417	1800	4000	NA
2	Spectrogram 1	1	51.976783646	52.648783646	1800	4000	NA
3	Spectrogram 1	1	48.212808491	48.884808491	1800	4000	NA
4	Spectrogram 1	1	52.877404764	53.549404764	1800	4000	NA
5	Spectrogram 1	1	190.033930969	190.705930969	1800	4000	NA
6	Spectrogram 1	1	197.729583143	198.401583143	1800	4000	NA
7	Spectrogram 1	1	809.44231839	810.11431839	1800	4000	NA
8	Spectrogram 1	1	828.855155256	829.527155256	1800	4000	NA
9	Spectrogram 1	1	829.507329169	830.179329169	1800	4000	NA
10	Spectrogram 1	1	858.084048057	858.756048057	1800	4000	NA
11	Spectrogram 1	1	850.25174992	850.92374992	1800	4000	NA
12	Spectrogram 1	1	852.307650541	852.979650541	1800	4000	NA
13	Spectrogram 1	1	1638.270507089	1638.942507089	1800	4000	NA
