Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	517.909904456	518.581904456	1800	4000	NA
2	Spectrogram 1	1	518.886301972	519.558301972	1800	4000	NA
3	Spectrogram 1	1	519.724811289	520.396811289	1800	4000	NA
4	Spectrogram 1	1	523.276373994	523.948373994	1800	4000	NA
5	Spectrogram 1	1	538.276268714	538.948268714	1800	4000	NA
6	Spectrogram 1	1	539.588069956	540.260069956	1800	4000	NA
7	Spectrogram 1	1	541.675026243	542.347026243	1800	4000	NA
8	Spectrogram 1	1	543.355771585	544.027771585	1800	4000	NA
9	Spectrogram 1	1	545.234032454	545.906032454	1800	4000	NA
10	Spectrogram 1	1	546.039001164	546.711001164	1800	4000	NA
11	Spectrogram 1	1	554.763224532	555.435224532	1800	4000	NA
12	Spectrogram 1	1	555.914777092	556.586777092	1800	4000	NA
13	Spectrogram 1	1	557.461360943	558.133360943	1800	4000	NA
14	Spectrogram 1	1	559.216640447	559.888640447	1800	4000	NA
15	Spectrogram 1	1	560.71105015	561.38305015	1800	4000	NA
16	Spectrogram 1	1	562.268814125	562.940814125	1800	4000	NA
17	Spectrogram 1	1	563.755770647	564.427770647	1800	4000	NA
18	Spectrogram 1	1	565.547068278	566.219068278	1800	4000	NA
19	Spectrogram 1	1	571.453900342	572.125900342	1800	4000	NA
20	Spectrogram 1	1	574.140856629	574.812856629	1800	4000	NA
21	Spectrogram 1	1	574.919738617	575.591738617	1800	4000	NA
22	Spectrogram 1	1	575.840235511	576.512235511	1800	4000	NA
23	Spectrogram 1	1	929.209917249	929.881917249	1800	4000	NA
24	Spectrogram 1	1	929.981345821	930.653345821	1800	4000	NA
25	Spectrogram 1	1	930.592525945	931.264525945	1800	4000	NA
26	Spectrogram 1	1	933.134140852	933.806140852	1800	4000	NA
27	Spectrogram 1	1	1511.502918377	1512.174918377	1800	4000	NA
28	Spectrogram 1	1	1512.602297259	1513.274297259	1800	4000	NA
29	Spectrogram 1	1	1518.058197646	1518.730197646	1800	4000	NA
30	Spectrogram 1	1	1519.05695541	1519.72895541	1800	4000	NA
31	Spectrogram 1	1	1522.958818529	1523.630818529	1800	4000	NA
32	Spectrogram 1	1	1523.372483125	1524.044483125	1800	4000	NA
33	Spectrogram 1	1	1524.527762628	1525.199762628	1800	4000	NA
34	Spectrogram 1	1	1528.131489102	1528.803489102	1800	4000	NA
35	Spectrogram 1	1	1529.536467781	1530.208467781	1800	4000	NA
36	Spectrogram 1	1	1531.179946042	1531.851946042	1800	4000	NA
37	Spectrogram 1	1	1539.10292694	1539.77492694	1800	4000	NA
38	Spectrogram 1	1	1581.065576791	1581.737576791	1800	4000	NA
39	Spectrogram 1	1	1583.938868717	1584.610868717	1800	4000	NA
40	Spectrogram 1	1	1586.84570078	1587.51770078	1800	4000	NA
41	Spectrogram 1	1	1589.152533078	1589.824533078	1800	4000	NA
42	Spectrogram 1	1	1592.599737813	1593.271737813	1800	4000	NA
43	Spectrogram 1	1	1599.147563665	1599.819563665	1800	4000	NA
44	Spectrogram 1	1	1600.567439207	1601.239439207	1800	4000	NA
45	Spectrogram 1	1	1602.885451629	1603.557451629	1800	4000	NA
46	Spectrogram 1	1	1621.747339484	1622.419339484	1800	4000	NA
