Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	293.920052471	294.592052471	1800	4000	NA
2	Spectrogram 1	1	294.640549365	295.312549365	1800	4000	NA
3	Spectrogram 1	1	296.317567999	296.989567999	1800	4000	NA
4	Spectrogram 1	1	302.49769234	303.16969234	1800	4000	NA
5	Spectrogram 1	1	303.795828986	304.467828986	1800	4000	NA
6	Spectrogram 1	1	308.764773203	309.436773203	1800	4000	NA
7	Spectrogram 1	1	317.727506239	318.399506239	1800	4000	NA
8	Spectrogram 1	1	318.74613978	319.41813978	1800	4000	NA
9	Spectrogram 1	1	325.39831381	326.07031381	1800	4000	NA
10	Spectrogram 1	1	776.154164576	776.826164576	1800	4000	NA
11	Spectrogram 1	1	777.483357123	778.155357123	1800	4000	NA
12	Spectrogram 1	1	1260.188853625	1260.860853625	1800	4000	NA
13	Spectrogram 1	1	1272.50623467	1273.17823467	1800	4000	NA
14	Spectrogram 1	1	1301.160777451	1301.832777451	1800	4000	NA
15	Spectrogram 1	1	1303.527237196	1304.199237196	1800	4000	NA
16	Spectrogram 1	1	1305.508603656	1306.180603656	1800	4000	NA
17	Spectrogram 1	1	1309.489970115	1310.161970115	1800	4000	NA
18	Spectrogram 1	1	1313.31605719	1313.98805719	1800	4000	NA
19	Spectrogram 1	1	1315.85021868	1316.52221868	1800	4000	NA
20	Spectrogram 1	1	1320.129721903	1320.801721903	1800	4000	NA
21	Spectrogram 1	1	1321.95580886	1322.62780886	1800	4000	NA
22	Spectrogram 1	1	1328.278790344	1328.950790344	1800	4000	NA
23	Spectrogram 1	1	1531.278918694	1531.950918694	1800	4000	NA
24	Spectrogram 1	1	1535.502521178	1536.174521178	1800	4000	NA
