Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	1261.941477587	1262.613477587	1800	4000	NA
2	Spectrogram 1	1	1263.165080071	1263.837080071	1800	4000	NA
3	Spectrogram 1	1	1264.239614233	1264.911614233	1800	4000	NA
4	Spectrogram 1	1	1265.239614233	1265.911614233	1800	4000	NA
5	Spectrogram 1	1	1267.065701189	1267.737701189	1800	4000	NA
6	Spectrogram 1	1	1268.12160181	1268.79360181	1800	4000	NA
7	Spectrogram 1	1	1269.680608022	1270.352608022	1800	4000	NA
8	Spectrogram 1	1	1746.98345558	1747.65545558	1800	4000	NA
9	Spectrogram 1	1	1749.331281667	1750.003281667	1800	4000	NA
10	Spectrogram 1	1	1753.884076698	1754.556076698	1800	4000	NA
