Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	0.496298137	1.168298137	1500	6500	NA
2	Spectrogram 1	1	2.036670807	2.708670807	1500	6500	NA
3	Spectrogram 1	1	3.533565217	4.205565217	1500	6500	NA
4	Spectrogram 1	1	5.427975155	6.099975155	1500	6500	NA
5	Spectrogram 1	1	6.844124224	7.516124224	1500	6500	NA
6	Spectrogram 1	1	8.372074534	9.044074534	1500	6500	NA
7	Spectrogram 1	1	6.316173913	6.988173913	1500	6500	NA
8	Spectrogram 1	1	9.701266669	10.373266669	1500	6500	NA
9	Spectrogram 1	1	10.999403315	11.671403315	1500	6500	NA
10	Spectrogram 1	1	12.341018222	13.013018222	1500	6500	NA
11	Spectrogram 1	1	14.974558595	15.646558595	1500	6500	NA
12	Spectrogram 1	1	16.583254247	17.255254247	1500	6500	NA
13	Spectrogram 1	1	23.496297314	24.168297314	1500	6500	NA
14	Spectrogram 1	1	126.628902356	127.300902356	1500	6500	NA
15	Spectrogram 1	1	144.751647833	145.423647833	1500	6500	NA
16	Spectrogram 1	1	145.12431864	145.79631864	1500	6500	NA
17	Spectrogram 1	1	219.108128282	219.780128282	1500	6500	NA
18	Spectrogram 1	1	1593.417320143	1594.089320143	1500	6500	NA
19	Spectrogram 1	1	1595.802413311	1596.474413311	1500	6500	NA
20	Spectrogram 1	1	1598.206140019	1598.878140019	1500	6500	NA
21	Spectrogram 1	1	1599.678189708	1600.350189708	1500	6500	NA
22	Spectrogram 1	1	1600.106761137	1600.778761137	1500	6500	NA
23	Spectrogram 1	1	1600.417320143	1601.089320143	1500	6500	NA
24	Spectrogram 1	1	1592.28067418	1592.95267418	1500	6500	NA
