Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	82.469869167	83.141869167	1500	6500	NA
2	Spectrogram 1	1	91.221421644	91.893421644	1500	6500	NA
3	Spectrogram 1	1	92.724527234	93.396527234	1500	6500	NA
4	Spectrogram 1	1	94.165520704	94.837520704	1500	6500	NA
5	Spectrogram 1	1	114.047678957	114.719678957	1500	6500	NA
6	Spectrogram 1	1	118.817865292	119.489865292	1500	6500	NA
7	Spectrogram 1	1	120.985567155	121.657567155	1500	6500	NA
8	Spectrogram 1	1	124.178113421	124.850113421	1500	6500	NA
9	Spectrogram 1	1	135.459158032	136.131158032	1500	6500	NA
10	Spectrogram 1	1	137.937418901	138.609418901	1500	6500	NA
11	Spectrogram 1	1	853.707883138	854.379883138	1500	6500	NA
12	Spectrogram 1	1	855.198566368	855.870566368	1500	6500	NA
13	Spectrogram 1	1	857.192355188	857.864355188	1500	6500	NA
14	Spectrogram 1	1	859.006019784	859.678019784	1500	6500	NA
15	Spectrogram 1	1	860.092976306	860.764976306	1500	6500	NA
16	Spectrogram 1	1	861.571236033	862.243236033	1500	6500	NA
17	Spectrogram 1	1	861.329000008	862.001000008	1500	6500	NA
18	Spectrogram 1	1	870.006018323	870.678018323	1500	6500	NA
19	Spectrogram 1	1	870.565024534	871.237024534	1500	6500	NA
20	Spectrogram 1	1	871.912850621	872.584850621	1500	6500	NA
21	Spectrogram 1	1	872.745148758	873.417148758	1500	6500	NA
22	Spectrogram 1	1	873.801049379	874.473049379	1500	6500	NA
23	Spectrogram 1	1	922.370774433	923.042774433	1500	6500	NA
24	Spectrogram 1	1	925.973263007	926.645263007	1500	6500	NA
25	Spectrogram 1	1	931.762082883	932.434082883	1500	6500	NA
26	Spectrogram 1	1	931.314877914	931.986877914	1500	6500	NA
27	Spectrogram 1	1	930.314877914	930.986877914	1500	6500	NA
28	Spectrogram 1	1	934.432890018	935.104890018	1500	6500	NA
29	Spectrogram 1	1	938.600591881	939.272591881	1500	6500	NA
30	Spectrogram 1	1	938.960840328	939.632840328	1500	6500	NA
31	Spectrogram 1	1	939.109908651	939.781908651	1500	6500	NA
32	Spectrogram 1	1	939.644070142	940.316070142	1500	6500	NA
33	Spectrogram 1	1	940.103697471	940.775697471	1500	6500	NA
34	Spectrogram 1	1	940.811771687	941.483771687	1500	6500	NA
35	Spectrogram 1	1	941.526057401	942.198057401	1500	6500	NA
36	Spectrogram 1	1	942.147175413	942.819175413	1500	6500	NA
37	Spectrogram 1	1	942.271399016	942.943399016	1500	6500	NA
38	Spectrogram 1	1	943.271399016	943.943399016	1500	6500	NA
39	Spectrogram 1	1	943.911150569	944.583150569	1500	6500	NA
41	Spectrogram 1	1	952.327299318	952.999299318	1500	6500	NA
