Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	596.915561667	597.587561667	1500	6500	0	0	-76.7	NA
2	Spectrogram 1	1	600.037420963	600.709420963	1500	6500	0	0	-80.46	NA
3	Spectrogram 1	1	602.832647094	603.504647094	1500	6500	0	0	-80.38	NA
4	Spectrogram 1	1	593.617823285	594.289823285	1500	6500	0	0	-79.45	NA
5	Spectrogram 1	1	595.257270521	595.929270521	1500	6500	0	0	-73.75	NA
6	Spectrogram 1	1	604.710787487	605.382787487	1500	6500	0	0	-89.84	NA
7	Spectrogram 1	1	911.36259168	912.03459168	1500	6500	0	0	-85.3	NA
8	Spectrogram 1	1	909.390229871	910.062229871	1500	6500	0	0	-85.69	NA
9	Spectrogram 1	1	914.804802736	915.476802736	1500	6500	0	0	-88.87	NA
10	Spectrogram 1	1	1746.56580077	1747.23780077	1500	6500	0	0	-83.52	NA
11	Spectrogram 1	1	1756.955247695	1757.627247695	1500	6500	0	0	-81.41	NA
12	Spectrogram 1	1	1758.34343865	1759.01543865	1500	6500	0	0	-87.75	NA
13	Spectrogram 1	1	1762.746704671	1763.418704671	1500	6500	0	0	-85.68	NA
14	Spectrogram 1	1	1765.975347887	1766.647347887	1500	6500	0	0	-84.36	NA
15	Spectrogram 1	1	1772.256754611	1772.928754611	1500	6500	0	0	-92.28	NA
16	Spectrogram 1	1	1774.310774711	1774.982774711	1500	6500	0	0	-79.44	NA
17	Spectrogram 1	1	1776.45273451	1777.12473451	1500	6500	0	0	-88.47	NA
18	Spectrogram 1	1	1780.799467868	1781.471467868	1500	6500	0	0	-95.86	NA
19	Spectrogram 1	1	1782.068312089	1782.740312089	1500	6500	0	0	-78.89	NA
