Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	10.481646685	11.153646685	1500	6500	NA
2	Spectrogram 1	1	12.186354245	12.858354245	1500	6500	NA
3	Spectrogram 1	1	13.8482658	14.5202658	1500	6500	NA
4	Spectrogram 1	1	34.316321261	34.988321261	1500	6500	NA
5	Spectrogram 1	1	35.108047367	35.780047367	1500	6500	NA
6	Spectrogram 1	1	46.371384629	47.043384629	1500	6500	NA
7	Spectrogram 1	1	47.098916726	47.770916726	1500	6500	NA
8	Spectrogram 1	1	48.332868224	49.004868224	1500	6500	NA
9	Spectrogram 1	1	62.315264131	62.987264131	1500	6500	NA
10	Spectrogram 1	1	60.596291235	61.268291235	1500	6500	NA
11	Spectrogram 1	1	858.781761406	859.453761406	1500	6500	NA
12	Spectrogram 1	1	861.214001064	861.886001064	1500	6500	NA
13	Spectrogram 1	1	862.975765812	863.647765812	1500	6500	NA
14	Spectrogram 1	1	862.590601761	863.262601761	1500	6500	NA
15	Spectrogram 1	1	862.255366383	862.927366383	1500	6500	NA
16	Spectrogram 1	1	864.288176654	864.960176654	1500	6500	NA
17	Spectrogram 1	1	871.67048727	872.34248727	1500	6500	NA
18	Spectrogram 1	1	872.947234774	873.619234774	1500	6500	NA
19	Spectrogram 1	1	874.495023647	875.167023647	1500	6500	NA
20	Spectrogram 1	1	1420.797140076	1421.469140076	1500	6500	NA
21	Spectrogram 1	1	1421.80284621	1422.47484621	1500	6500	NA
22	Spectrogram 1	1	1423.992575169	1424.664575169	1500	6500	NA
23	Spectrogram 1	1	1424.342075882	1425.014075882	1500	6500	NA
