Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	328.589717277	329.261717277	1500	6500	NA
2	Spectrogram 1	1	336.130089948	336.802089948	1500	6500	NA
3	Spectrogram 1	1	508.273140955	508.945140955	1500	6500	NA
4	Spectrogram 1	1	510.937737229	511.609737229	1500	6500	NA
5	Spectrogram 1	1	515.254507415	515.926507415	1500	6500	NA
6	Spectrogram 1	1	516.856991887	517.528991887	1500	6500	NA
7	Spectrogram 1	1	518.701712459	519.373712459	1500	6500	NA
8	Spectrogram 1	1	521.372519912	522.044519912	1500	6500	NA
9	Spectrogram 1	1	523.583700036	524.255700036	1500	6500	NA
10	Spectrogram 1	1	525.49053241	526.16253241	1500	6500	NA
11	Spectrogram 1	1	527.689290174	528.361290174	1500	6500	NA
12	Spectrogram 1	1	532.850780932	533.522780932	1500	6500	NA
13	Spectrogram 1	1	536.608544907	537.280544907	1500	6500	NA
14	Spectrogram 1	1	538.850780932	539.522780932	1500	6500	NA
15	Spectrogram 1	1	540.937737529	541.609737529	1500	6500	NA
16	Spectrogram 1	1	546.540222001	547.212222001	1500	6500	NA
17	Spectrogram 1	1	547.794880386	548.466880386	1500	6500	NA
18	Spectrogram 1	1	560.950893369	561.622893369	1500	6500	NA
19	Spectrogram 1	1	563.335986536	564.007986536	1500	6500	NA
20	Spectrogram 1	1	576.744266077	577.416266077	1500	6500	NA
21	Spectrogram 1	1	581.961657381	582.633657381	1500	6500	NA
22	Spectrogram 1	1	583.079669804	583.751669804	1500	6500	NA
23	Spectrogram 1	1	585.154203965	585.826203965	1500	6500	NA
24	Spectrogram 1	1	586.340539444	587.012539444	1500	6500	NA
25	Spectrogram 1	1	587.278427643	587.950427643	1500	6500	NA
26	Spectrogram 1	1	591.185259941	591.857259941	1500	6500	NA
27	Spectrogram 1	1	592.63246491	593.30446491	1500	6500	NA
28	Spectrogram 1	1	599.638676165	600.310676165	1500	6500	NA
29	Spectrogram 1	1	1418.671315292	1419.343315292	1500	6500	NA
30	Spectrogram 1	1	1420.391812187	1421.063812187	1500	6500	NA
