Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	823.286012828	823.958012828	1500	6500	NA
2	Spectrogram 1	1	826.223901027	826.895901027	1500	6500	NA
3	Spectrogram 1	1	827.217689847	827.889689847	1500	6500	NA
5	Spectrogram 1	1	861.814666367	862.486666367	1500	6500	NA
6	Spectrogram 1	1	863.367461398	864.039461398	1500	6500	NA
7	Spectrogram 1	1	865.212181895	865.884181895	1500	6500	NA
8	Spectrogram 1	1	916.47560521	917.14760521	1500	6500	NA
9	Spectrogram 1	1	920.444549309	921.116549309	1500	6500	NA
11	Spectrogram 1	1	1241.518008424	1242.190008424	1500	6500	NA
12	Spectrogram 1	1	1243.219871778	1243.891871778	1500	6500	NA
13	Spectrogram 1	1	1245.24471618	1245.91671618	1500	6500	NA
14	Spectrogram 1	1	1250.729188229	1251.401188229	1500	6500	NA
15	Spectrogram 1	1	1252.896889774	1253.568889774	1500	6500	NA
16	Spectrogram 1	1	1256.20744878	1256.87944878	1500	6500	NA
17	Spectrogram 1	1	1264.934156536	1265.606156536	1500	6500	NA
18	Spectrogram 1	1	1261.393783866	1262.065783866	1500	6500	NA
19	Spectrogram 1	1	1271.816143796	1272.488143796	1500	6500	NA
20	Spectrogram 1	1	1283.443471846	1284.115471846	1500	6500	NA
21	Spectrogram 1	1	1277.809931473	1278.481931473	1500	6500	NA
22	Spectrogram 1	1	1279.089434579	1279.761434579	1500	6500	NA
23	Spectrogram 1	1	1279.927943896	1280.599943896	1500	6500	NA
24	Spectrogram 1	1	1281.474527746	1282.146527746	1500	6500	NA
25	Spectrogram 1	1	1285.754030534	1286.426030534	1500	6500	NA
26	Spectrogram 1	1	1288.114278981	1288.786278981	1500	6500	NA
27	Spectrogram 1	1	1412.051257013	1412.723257013	1500	6500	NA
28	Spectrogram 1	1	1457.125788338	1457.797788338	1500	6500	NA
29	Spectrogram 1	1	1460.641316288	1461.313316288	1500	6500	NA
30	Spectrogram 1	1	1463.492247965	1464.164247965	1500	6500	NA
31	Spectrogram 1	1	1468.864918454	1469.536918454	1500	6500	NA
32	Spectrogram 1	1	1469.051253858	1469.723253858	1500	6500	NA
33	Spectrogram 1	1	1472.858707274	1473.530707274	1500	6500	NA
34	Spectrogram 1	1	1473.728272173	1474.400272173	1500	6500	NA
35	Spectrogram 1	1	1475.119576521	1475.791576521	1500	6500	NA
36	Spectrogram 1	1	1476.883551676	1477.555551676	1500	6500	NA
37	Spectrogram 1	1	1479.386657266	1480.058657266	1500	6500	NA
38	Spectrogram 1	1	1483.100941838	1483.772941838	1500	6500	NA
39	Spectrogram 1	1	1484.169264819	1484.841264819	1500	6500	NA
40	Spectrogram 1	1	1484.889761714	1485.561761714	1500	6500	NA
41	Spectrogram 1	1	1487.063674757	1487.735674757	1500	6500	NA
42	Spectrogram 1	1	1493.423922886	1494.095922886	1500	6500	NA
43	Spectrogram 1	1	1508.457831536	1509.129831536	1500	6500	NA
44	Spectrogram 1	1	1508.855347064	1509.527347064	1500	6500	NA
45	Spectrogram 1	1	1511.209384331	1511.881384331	1500	6500	NA
46	Spectrogram 1	1	1514.693856381	1515.365856381	1500	6500	NA
47	Spectrogram 1	1	1516.060316008	1516.732316008	1500	6500	NA
48	Spectrogram 1	1	1516.644166621	1517.316166621	1500	6500	NA
49	Spectrogram 1	1	1517.805657304	1518.477657304	1500	6500	NA
50	Spectrogram 1	1	1520.550998919	1521.222998919	1500	6500	NA
51	Spectrogram 1	1	1520.861557925	1521.533557925	1500	6500	NA
52	Spectrogram 1	1	1522.283918174	1522.955918174	1500	6500	NA
53	Spectrogram 1	1	1522.762179043	1523.434179043	1500	6500	NA
54	Spectrogram 1	1	1523.507520658	1524.179520658	1500	6500	NA
55	Spectrogram 1	1	1524.234228733	1524.906228733	1500	6500	NA
56	Spectrogram 1	1	1525.600688042	1526.272688042	1500	6500	NA
57	Spectrogram 1	1	1526.308762576	1526.980762576	1500	6500	NA
58	Spectrogram 1	1	1526.588265681	1527.260265681	1500	6500	NA
59	Spectrogram 1	1	1527.159694253	1527.831694253	1500	6500	NA
60	Spectrogram 1	1	1527.737334004	1528.409334004	1500	6500	NA
61	Spectrogram 1	1	1528.128638352	1528.800638352	1500	6500	NA
