Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	3.489376884	4.161376884	1500	6500	0	0	-96.32	NA
2	Spectrogram 1	1	5.68158794	6.35358794	1500	6500	0	0	-86.22	NA
3	Spectrogram 1	1	7.182844221	7.854844221	1500	6500	0	0	-81.1	NA
4	Spectrogram 1	1	66.156772328	66.828772328	1500	6500	0	0	-86.4	NA
5	Spectrogram 1	1	599.112095081	599.784095081	1500	6500	0	0	-76.57	NA
6	Spectrogram 1	1	727.010537836	727.682537836	1500	6500	0	0	-77.23	NA
7	Spectrogram 1	1	728.574608187	729.246608187	1500	6500	0	0	-72.88	NA
8	Spectrogram 1	1	731.099733815	731.771733815	1500	6500	0	0	-61.32	NA
9	Spectrogram 1	1	734.196467484	734.868467484	1500	6500	0	0	-73.66	NA
10	Spectrogram 1	1	837.605559641	838.277559641	1500	6500	0	0	-68.7	NA
11	Spectrogram 1	1	839.037720445	839.709720445	1500	6500	0	0	-82.94	NA
12	Spectrogram 1	1	840.564102355	841.236102355	1500	6500	0	0	-86.79	NA
13	Spectrogram 1	1	844.552794737	845.224794737	1500	6500	0	0	-82.61	NA
14	Spectrogram 1	1	846.236211822	846.908211822	1500	6500	0	0	-94.06	NA
15	Spectrogram 1	1	847.775156546	848.447156546	1500	6500	0	0	-82.81	NA
16	Spectrogram 1	1	849.383196747	850.055196747	1500	6500	0	0	-79.3	NA
17	Spectrogram 1	1	851.060332425	851.732332425	1500	6500	0	0	-87.66	NA
18	Spectrogram 1	1	852.147015842	852.819015842	1500	6500	0	0	-75.48	NA
19	Spectrogram 1	1	885.950545128	886.622545128	1500	6500	0	0	-74.4	NA
20	Spectrogram 1	1	888.839992364	889.511992364	1500	6500	0	0	-75.96	NA
21	Spectrogram 1	1	1599.591187464	1600.263187464	1500	6500	0	0	-90.01	NA
22	Spectrogram 1	1	1600.313549273	1600.985549273	1500	6500	0	0	-65.98	NA
23	Spectrogram 1	1	1604.836162079	1605.508162079	1500	6500	0	0	-76.61	NA
24	Spectrogram 1	1	1610.081136953	1610.753136953	1500	6500	0	0	-74.27	NA
25	Spectrogram 1	1	1611.437920613	1612.109920613	1500	6500	0	0	-69.93	NA
