Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	0.570832298	1.242832298	1800	4000	NA
2	Spectrogram 1	1	1.664	2.336	1800	4000	NA
3	Spectrogram 1	1	5.713689441	6.385689441	1800	4000	NA
4	Spectrogram 1	1	5.993192547	6.665192547	1800	4000	NA
5	Spectrogram 1	1	10.347229603	11.019229603	1800	4000	NA
6	Spectrogram 1	1	19.036669556	19.708669556	1800	4000	NA
7	Spectrogram 1	1	47.768748961	48.440748961	1800	4000	NA
8	Spectrogram 1	1	86.739548997	87.411548997	1800	4000	NA
9	Spectrogram 1	1	163.207641419	163.879641419	1800	4000	NA
10	Spectrogram 1	1	165.039939556	165.711939556	1800	4000	NA
11	Spectrogram 1	1	185.629012657	186.301012657	1800	4000	NA
12	Spectrogram 1	1	186.535844955	187.207844955	1800	4000	NA
13	Spectrogram 1	1	206.977452234	207.649452234	1800	4000	NA
14	Spectrogram 1	1	207.747638569	208.419638569	1800	4000	NA
15	Spectrogram 1	1	211.058197364	211.730197364	1800	4000	NA
16	Spectrogram 1	1	220.722793427	221.394793427	1800	4000	NA
17	Spectrogram 1	1	237.04268409	237.71468409	1800	4000	NA
18	Spectrogram 1	1	239.589267941	240.261267941	1800	4000	NA
19	Spectrogram 1	1	241.682435643	242.354435643	1800	4000	NA
20	Spectrogram 1	1	1061.772115568	1062.444115568	1800	4000	NA
21	Spectrogram 1	1	1063.244165258	1063.916165258	1800	4000	NA
22	Spectrogram 1	1	1064.641680786	1065.313680786	1800	4000	NA
23	Spectrogram 1	1	1066.101308115	1066.773308115	1800	4000	NA
24	Spectrogram 1	1	1655.723881482	1656.395881482	1800	4000	NA
25	Spectrogram 1	1	1656.717670301	1657.389670301	1800	4000	NA
26	Spectrogram 1	1	1659.431956016	1660.103956016	1800	4000	NA
27	Spectrogram 1	1	1666.829529924	1667.501529924	1800	4000	NA
28	Spectrogram 1	1	1694.648924653	1695.320924653	1800	4000	NA
29	Spectrogram 1	1	1695.841471236	1696.513471236	1800	4000	NA
30	Spectrogram 1	1	1697.238986553	1697.910986553	1800	4000	NA
31	Spectrogram 1	1	1699.214141833	1699.886141833	1800	4000	NA
32	Spectrogram 1	1	1701.59302382	1702.26502382	1800	4000	NA
33	Spectrogram 1	1	1705.425321746	1706.097321746	1800	4000	NA
