Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	797.379633748	798.051633748	1500	6500	NA
2	Spectrogram 1	1	808.515589858	809.187589858	1500	6500	NA
3	Spectrogram 1	1	808.254720293	808.926720293	1500	6500	NA
4	Spectrogram 1	1	806.944161287	807.616161287	1500	6500	NA
5	Spectrogram 1	1	1394.394442343	1395.066442343	1500	6500	NA
6	Spectrogram 1	1	1395.847858492	1396.519858492	1500	6500	NA
7	Spectrogram 1	1	1396.624256008	1397.296256008	1500	6500	NA
8	Spectrogram 1	1	1396.854069672	1397.526069672	1500	6500	NA
9	Spectrogram 1	1	1397.823013772	1398.495013772	1500	6500	NA
10	Spectrogram 1	1	1398.593200466	1399.265200466	1500	6500	NA
11	Spectrogram 1	1	1399.102517236	1399.774517236	1500	6500	NA
12	Spectrogram 1	1	1403.158417857	1403.830417857	1500	6500	NA
13	Spectrogram 1	1	1404.232952019	1404.904952019	1500	6500	NA
14	Spectrogram 1	1	1405.139784317	1405.811784317	1500	6500	NA
15	Spectrogram 1	1	1405.487610404	1406.159610404	1500	6500	NA
16	Spectrogram 1	1	1406.785747409	1407.457747409	1500	6500	NA
17	Spectrogram 1	1	1407.226741198	1407.898741198	1500	6500	NA
18	Spectrogram 1	1	1408.555933744	1409.227933744	1500	6500	NA
19	Spectrogram 1	1	1409.723635608	1410.395635608	1500	6500	NA
21	Spectrogram 1	1	1411.85407039	1412.52607039	1500	6500	NA
22	Spectrogram 1	1	1413.280469257	1413.952469257	1500	6500	NA
23	Spectrogram 1	1	1413.783574847	1414.455574847	1500	6500	NA
24	Spectrogram 1	1	1416.286680437	1416.958680437	1500	6500	NA
25	Spectrogram 1	1	1420.236990996	1420.908990996	1500	6500	NA
26	Spectrogram 1	1	1415.100345033	1415.772345033	1500	6500	NA
27	Spectrogram 1	1	1412.677984785	1413.349984785	1500	6500	NA
28	Spectrogram 1	1	1423.00096651	1423.67296651	1500	6500	NA
29	Spectrogram 1	1	1424.448171479	1425.120171479	1500	6500	NA
30	Spectrogram 1	1	1425.957488249	1426.629488249	1500	6500	NA
31	Spectrogram 1	1	1426.789786386	1427.461786386	1500	6500	NA
32	Spectrogram 1	1	1434.491650099	1435.163650099	1500	6500	NA
33	Spectrogram 1	1	1433.131401651	1433.803401651	1500	6500	NA
34	Spectrogram 1	1	1432.603451341	1433.275451341	1500	6500	NA
35	Spectrogram 1	1	1431.615873701	1432.287873701	1500	6500	NA
36	Spectrogram 1	1	1430.205935813	1430.877935813	1500	6500	NA
37	Spectrogram 1	1	1436.814631824	1437.486631824	1500	6500	NA
38	Spectrogram 1	1	1440.814631824	1441.486631824	1500	6500	NA
39	Spectrogram 1	1	1442.205936172	1442.877936172	1500	6500	NA
40	Spectrogram 1	1	1441.783575923	1442.455575923	1500	6500	NA
41	Spectrogram 1	1	1443.255625613	1443.927625613	1500	6500	NA
42	Spectrogram 1	1	1443.6034517	1444.2754517	1500	6500	NA
43	Spectrogram 1	1	1444.820843363	1445.492843363	1500	6500	NA
44	Spectrogram 1	1	1448.559973798	1449.231973798	1500	6500	NA
45	Spectrogram 1	1	1449.839476903	1450.511476903	1500	6500	NA
46	Spectrogram 1	1	1450.827054543	1451.499054543	1500	6500	NA
47	Spectrogram 1	1	1451.18730299	1451.85930299	1500	6500	NA
48	Spectrogram 1	1	1452.19351417	1452.86551417	1500	6500	NA
49	Spectrogram 1	1	1452.988545585	1453.660545585	1500	6500	NA
50	Spectrogram 1	1	1454.609663598	1455.281663598	1500	6500	NA
51	Spectrogram 1	1	1455.367427573	1456.039427573	1500	6500	NA
52	Spectrogram 1	1	1456.677986579	1457.349986579	1500	6500	NA
