Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	960.237854942	960.909854942	1500	6500	0	0	-88.05	NA
2	Spectrogram 1	1	964.948837601	965.620837601	1500	6500	0	0	-89.93	NA
3	Spectrogram 1	1	969.233520091	969.905520091	1500	6500	0	0	-86.24	NA
4	Spectrogram 1	1	975.100572114	975.772572114	1500	6500	0	0	-85.56	NA
5	Spectrogram 1	1	976.437277317	977.109277317	1500	6500	0	0	-91.69	NA
6	Spectrogram 1	1	978.005196801	978.677196801	1500	6500	0	0	-97.11	NA
7	Spectrogram 1	1	979.789878881	980.461878881	1500	6500	0	0	-88.28	NA
8	Spectrogram 1	1	981.87802917	982.55002917	1500	6500	0	0	-100.69	NA
9	Spectrogram 1	1	984.35635287	985.02835287	1500	6500	0	0	-84.48	NA
10	Spectrogram 1	1	1111.103156513	1111.775156513	1500	6500	0	0	-81.23	NA
11	Spectrogram 1	1	1112.830035126	1113.502035126	1500	6500	0	0	-85.01	NA
12	Spectrogram 1	1	1114.889283681	1115.561283681	1500	6500	0	0	-84.55	NA
13	Spectrogram 1	1	1116.435526864	1117.107526864	1500	6500	0	0	-111.67	NA
14	Spectrogram 1	1	1120.178301431	1120.850301431	1500	6500	0	0	-86.49	NA
15	Spectrogram 1	1	1121.117607789	1121.789607789	1500	6500	0	0	-85.03	NA
16	Spectrogram 1	1	1122.519341893	1123.191341893	1500	6500	0	0	-88.87	NA
17	Spectrogram 1	1	1126.319920337	1126.991920337	1500	6500	0	0	-90.94	NA
18	Spectrogram 1	1	1313.878564268	1314.550564268	1500	6500	0	0	-95	NA
19	Spectrogram 1	1	1316.544749239	1317.216749239	1500	6500	0	0	-81.5	NA
20	Spectrogram 1	1	1317.382899528	1318.054899528	1500	6500	0	0	-57.35	NA
21	Spectrogram 1	1	1318.669026696	1319.341026696	1500	6500	0	0	-63.35	NA
22	Spectrogram 1	1	1321.024518025	1321.696518025	1500	6500	0	0	-68.51	NA
23	Spectrogram 1	1	1322.758622071	1323.430622071	1500	6500	0	0	-62.59	NA
24	Spectrogram 1	1	1324.760067567	1325.432067567	1500	6500	0	0	-83.16	NA
25	Spectrogram 1	1	1327.310645602	1327.982645602	1500	6500	0	0	-79.98	NA
26	Spectrogram 1	1	1329.947928839	1330.619928839	1500	6500	0	0	-84.25	NA
27	Spectrogram 1	1	1331.826541964	1332.498541964	1500	6500	0	0	-86.76	NA
28	Spectrogram 1	1	1333.835212485	1334.507212485	1500	6500	0	0	-63.24	NA
29	Spectrogram 1	1	1339.03029919	1339.70229919	1500	6500	0	0	-65.95	NA
32	Spectrogram 1	1	1609.869050969	1610.541050969	1500	6500	0	0	-88.68	NA
33	Spectrogram 1	1	1613.481767732	1614.153767732	1500	6500	0	0	-87.5	NA
34	Spectrogram 1	1	1615.100264842	1615.772264842	1500	6500	0	0	-87.58	NA
