Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	171.74261889	172.41461889	1800	4000	NA
2	Spectrogram 1	1	175.289202741	175.961202741	1800	4000	NA
3	Spectrogram 1	1	177.469326964	178.141326964	1800	4000	NA
4	Spectrogram 1	1	907.339428275	908.011428275	1800	4000	NA
5	Spectrogram 1	1	911.960546168	912.632546168	1800	4000	NA
6	Spectrogram 1	1	913.724521324	914.396521324	1800	4000	NA
7	Spectrogram 1	1	914.358061696	915.030061696	1800	4000	NA
8	Spectrogram 1	1	916.302161075	916.974161075	1800	4000	NA
9	Spectrogram 1	1	920.314583316	920.986583316	1800	4000	NA
10	Spectrogram 1	1	1060.955151242	1061.627151242	1800	4000	NA
11	Spectrogram 1	1	1072.527822539	1073.199822539	1800	4000	NA
12	Spectrogram 1	1	1087.863226027	1088.535226027	1800	4000	NA
13	Spectrogram 1	1	1089.316642176	1089.988642176	1800	4000	NA
14	Spectrogram 1	1	1094.074406031	1094.746406031	1800	4000	NA
15	Spectrogram 1	1	1099.01229423	1099.68429423	1800	4000	NA
16	Spectrogram 1	1	1100.322853236	1100.994853236	1800	4000	NA
17	Spectrogram 1	1	1102.105461813	1102.777461813	1800	4000	NA
18	Spectrogram 1	1	1112.929382267	1113.601382267	1800	4000	NA
19	Spectrogram 1	1	1115.805158664	1116.477158664	1800	4000	NA
20	Spectrogram 1	1	1117.637456801	1118.309456801	1800	4000	NA
21	Spectrogram 1	1	1126.562922401	1127.234922401	1800	4000	NA
22	Spectrogram 1	1	1127.705779544	1128.377779544	1800	4000	NA
23	Spectrogram 1	1	1128.898326127	1129.570326127	1800	4000	NA
24	Spectrogram 1	1	1129.805158426	1130.477158426	1800	4000	NA
25	Spectrogram 1	1	1135.680934704	1136.352934704	1800	4000	NA
26	Spectrogram 1	1	1137.326897437	1137.998897437	1800	4000	NA
27	Spectrogram 1	1	1137.879692468	1138.551692468	1800	4000	NA
28	Spectrogram 1	1	1139.382798058	1140.054798058	1800	4000	NA
29	Spectrogram 1	1	1139.711990604	1140.383990604	1800	4000	NA
30	Spectrogram 1	1	1139.99770489	1140.66970489	1800	4000	NA
31	Spectrogram 1	1	1141.451121039	1142.123121039	1800	4000	NA
32	Spectrogram 1	1	1141.730624145	1142.402624145	1800	4000	NA
33	Spectrogram 1	1	1136.196462654	1136.868462654	1800	4000	NA
34	Spectrogram 1	1	1142.208885014	1142.880885014	1800	4000	NA
35	Spectrogram 1	1	1143.333108497	1144.005108497	1800	4000	NA
36	Spectrogram 1	1	1143.662301044	1144.334301044	1800	4000	NA
37	Spectrogram 1	1	1144.997704771	1145.669704771	1800	4000	NA
38	Spectrogram 1	1	1147.730624025	1148.402624025	1800	4000	NA
39	Spectrogram 1	1	1148.152984274	1148.824984274	1800	4000	NA
40	Spectrogram 1	1	1149.916959429	1150.588959429	1800	4000	NA
41	Spectrogram 1	1	1150.4200649	1151.0920649	1800	4000	NA
42	Spectrogram 1	1	1150.674723285	1151.346723285	1800	4000	NA
43	Spectrogram 1	1	1151.177828875	1151.849828875	1800	4000	NA
44	Spectrogram 1	1	1151.41385372	1152.08585372	1800	4000	NA
45	Spectrogram 1	1	1153.569133223	1154.241133223	1800	4000	NA
46	Spectrogram 1	1	1153.836213968	1154.508213968	1800	4000	NA
47	Spectrogram 1	1	1154.190251235	1154.862251235	1800	4000	NA
48	Spectrogram 1	1	1154.662300925	1155.334300925	1800	4000	NA
49	Spectrogram 1	1	1151.91074813	1152.58274813	1800	4000	NA
50	Spectrogram 1	1	1155.041182912	1155.713182912	1800	4000	NA
51	Spectrogram 1	1	1155.252363036	1155.924363036	1800	4000	NA
52	Spectrogram 1	1	1156.519443782	1157.191443782	1800	4000	NA
53	Spectrogram 1	1	1157.028760552	1157.700760552	1800	4000	NA
54	Spectrogram 1	1	1157.966648751	1158.638648751	1800	4000	NA
55	Spectrogram 1	1	1159.699567886	1160.371567886	1800	4000	NA
56	Spectrogram 1	1	1160.475965401	1161.147965401	1800	4000	NA
57	Spectrogram 1	1	1165.42627596	1166.09827596	1800	4000	NA
58	Spectrogram 1	1	1165.848636209	1166.520636209	1800	4000	NA
59	Spectrogram 1	1	1161.569133103	1162.241133103	1800	4000	NA
60	Spectrogram 1	1	1163.376586519	1164.048586519	1800	4000	NA
61	Spectrogram 1	1	1166.916959071	1167.588959071	1800	4000	NA
62	Spectrogram 1	1	1167.39521994	1168.06721994	1800	4000	NA
63	Spectrogram 1	1	1167.749257208	1168.421257208	1800	4000	NA
64	Spectrogram 1	1	1169.302052239	1169.974052239	1800	4000	NA
65	Spectrogram 1	1	1171.022549133	1171.694549133	1800	4000	NA
66	Spectrogram 1	1	1172.041182673	1172.713182673	1800	4000	NA
67	Spectrogram 1	1	1173.134350375	1173.806350375	1800	4000	NA
68	Spectrogram 1	1	1173.693356586	1174.365356586	1800	4000	NA
69	Spectrogram 1	1	1174.252362798	1174.924362798	1800	4000	NA
70	Spectrogram 1	1	1176.221306778	1176.893306778	1800	4000	NA
71	Spectrogram 1	1	1176.730623548	1177.402623548	1800	4000	NA
72	Spectrogram 1	1	1177.531865784	1178.203865784	1800	4000	NA
73	Spectrogram 1	1	1179.84863597	1180.52063597	1800	4000	NA
74	Spectrogram 1	1	1179.556710504	1180.228710504	1800	4000	NA
75	Spectrogram 1	1	1180.34553038	1181.01753038	1800	4000	NA
76	Spectrogram 1	1	1180.85484715	1181.52684715	1800	4000	NA
77	Spectrogram 1	1	1185.270996099	1185.942996099	1800	4000	NA
78	Spectrogram 1	1	1189.31447436	1189.98647436	1800	4000	NA
79	Spectrogram 1	1	1186.531865664	1187.203865664	1800	4000	NA
80	Spectrogram 1	1	1191.159194738	1191.831194738	1800	4000	NA
81	Spectrogram 1	1	1191.625033247	1192.297033247	1800	4000	NA
82	Spectrogram 1	1	1193.413853123	1194.085853123	1800	4000	NA
83	Spectrogram 1	1	1193.910747533	1194.582747533	1800	4000	NA
84	Spectrogram 1	1	1195.550499085	1196.222499085	1800	4000	NA
85	Spectrogram 1	1	1582.929762524	1583.601762524	1800	4000	NA
86	Spectrogram 1	1	1587.861439542	1588.533439542	1800	4000	NA
87	Spectrogram 1	1	1579.880073083	1580.552073083	1800	4000	NA
88	Spectrogram 1	1	1581.420445754	1582.092445754	1800	4000	NA
89	Spectrogram 1	1	1582.321066872	1582.993066872	1800	4000	NA
90	Spectrogram 1	1	1608.314813785	1608.986813785	1800	4000	NA
92	Spectrogram 1	1	1641.630754247	1642.302754247	1800	4000	NA
93	Spectrogram 1	1	1754.438341956	1755.110341956	1800	4000	NA
94	Spectrogram 1	1	1756.904180346	1757.576180346	1800	4000	NA
95	Spectrogram 1	1	1759.761323203	1760.433323203	1800	4000	NA
96	Spectrogram 1	1	1763.866913265	1764.538913265	1800	4000	NA
