Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	11.568546288	12.240546288	1500	6500	NA
2	Spectrogram 1	1	15.587179828	16.259179828	1500	6500	NA
3	Spectrogram 1	1	11.916372375	12.588372375	1500	6500	NA
4	Spectrogram 1	1	17.28904344	17.96104344	1500	6500	NA
5	Spectrogram 1	1	19.574757726	20.246757726	1500	6500	NA
6	Spectrogram 1	1	21.177242198	21.849242198	1500	6500	NA
7	Spectrogram 1	1	23.394633502	24.066633502	1500	6500	NA
8	Spectrogram 1	1	27.36357786	28.03557786	1500	6500	NA
9	Spectrogram 1	1	48.389794254	49.061794254	1500	6500	NA
10	Spectrogram 1	1	50.253148291	50.925148291	1500	6500	NA
11	Spectrogram 1	1	78.637997171	79.309997171	1500	6500	NA
12	Spectrogram 1	1	86.513773826	87.185773826	1500	6500	NA
13	Spectrogram 1	1	90.71253159	91.38453159	1500	6500	NA
14	Spectrogram 1	1	92.085202398	92.757202398	1500	6500	NA
15	Spectrogram 1	1	90.973401155	91.645401155	1500	6500	NA
16	Spectrogram 1	1	93.538617965	94.210617965	1500	6500	NA
17	Spectrogram 1	1	94.190791878	94.862791878	1500	6500	NA
18	Spectrogram 1	1	95.451661443	96.123661443	1500	6500	NA
19	Spectrogram 1	1	772.616900703	773.288900703	1500	6500	NA
20	Spectrogram 1	1	776.399509399	777.071509399	1500	6500	NA
21	Spectrogram 1	1	787.527795037	788.199795037	1500	6500	NA
22	Spectrogram 1	1	790.012267086	790.684267086	1500	6500	NA
23	Spectrogram 1	1	796.360093173	797.032093173	1500	6500	NA
24	Spectrogram 1	1	963.736696261	964.408696261	1500	6500	NA
25	Spectrogram 1	1	965.947876385	966.619876385	1500	6500	NA
26	Spectrogram 1	1	972.568994398	973.240994398	1500	6500	NA
