Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	710.756423466	711.428423466	1500	6500	0	0	-82.38	NA
2	Spectrogram 1	1	712.057001501	712.729001501	1500	6500	0	0	-81.02	NA
3	Spectrogram 1	1	713.50931364	714.18131364	1500	6500	0	0	-77.09	NA
4	Spectrogram 1	1	714.188504391	714.860504391	1500	6500	0	0	-75.46	NA
5	Spectrogram 1	1	715.315672021	715.987672021	1500	6500	0	0	-81.35	NA
6	Spectrogram 1	1	716.883591097	717.555591097	1500	6500	0	0	-72.25	NA
7	Spectrogram 1	1	717.353244276	718.025244276	1500	6500	0	0	-76.94	NA
8	Spectrogram 1	1	718.834458149	719.506458149	1500	6500	0	0	-74.28	NA
9	Spectrogram 1	1	721.804110933	722.476110933	1500	6500	0	0	-62.54	NA
10	Spectrogram 1	1	720.387925961	721.059925961	1500	6500	0	0	-78.16	NA
11	Spectrogram 1	1	722.512203418	723.184203418	1500	6500	0	0	-74.99	NA
12	Spectrogram 1	1	722.996307464	723.668307464	1500	6500	0	0	-72.66	NA
13	Spectrogram 1	1	724.166827696	724.838827696	1500	6500	0	0	-80.65	NA
14	Spectrogram 1	1	724.679833476	725.351833476	1500	6500	0	0	-74.28	NA
15	Spectrogram 1	1	722.671162956	723.343162956	1500	6500	0	0	-71.84	NA
16	Spectrogram 1	1	723.740527118	724.412527118	1500	6500	0	0	-80.76	NA
17	Spectrogram 1	1	726.587347927	727.259347927	1500	6500	0	0	-88.21	NA
18	Spectrogram 1	1	730.301220364	730.973220364	1500	6500	0	0	-75.7	NA
19	Spectrogram 1	1	731.226075855	731.898075855	1500	6500	0	0	-80.68	NA
20	Spectrogram 1	1	729.28965967	729.96165967	1500	6500	0	0	-79.68	NA
21	Spectrogram 1	1	732.273763717	732.945763717	1500	6500	0	0	-79.23	NA
22	Spectrogram 1	1	733.075786838	733.747786838	1500	6500	0	0	-81.76	NA
23	Spectrogram 1	1	734.730411115	735.402411115	1500	6500	0	0	-75.78	NA
24	Spectrogram 1	1	737.064225749	737.736225749	1500	6500	0	0	-66.55	NA
25	Spectrogram 1	1	737.411046558	738.083046558	1500	6500	0	0	-82.9	NA
26	Spectrogram 1	1	739.333011876	740.005011876	1500	6500	0	0	-76.47	NA
