Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	1482.331458387	1483.003458387	1500	6500	NA
2	Spectrogram 1	1	1483.772452176	1484.444452176	1500	6500	NA
3	Spectrogram 1	1	1485.157545344	1485.829545344	1500	6500	NA
4	Spectrogram 1	1	1486.412203611	1487.084203611	1500	6500	NA
5	Spectrogram 1	1	1489.095433425	1489.767433425	1500	6500	NA
6	Spectrogram 1	1	1490.399781251	1491.071781251	1500	6500	NA
7	Spectrogram 1	1	1495.331458152	1496.003458152	1500	6500	NA
8	Spectrogram 1	1	1783.824835095	1784.496835095	1500	6500	NA
9	Spectrogram 1	1	1785.402474847	1786.074474847	1500	6500	NA
10	Spectrogram 1	1	1785.818623915	1786.490623915	1500	6500	NA
11	Spectrogram 1	1	1787.532909629	1788.204909629	1500	6500	NA
12	Spectrogram 1	1	1789.278251244	1789.950251244	1500	6500	NA
