Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
2	Spectrogram 1	1	1149.709770993	1150.381770993	1800	4000	NA
3	Spectrogram 1	1	1148.653870372	1149.325870372	1800	4000	NA
4	Spectrogram 1	1	1156.930267314	1157.602267314	1800	4000	NA
5	Spectrogram 1	1	1179.792035603	1180.464035603	1800	4000	NA
6	Spectrogram 1	1	1181.012532211	1181.684532211	1800	4000	NA
7	Spectrogram 1	1	1183.416258919	1184.088258919	1800	4000	NA
8	Spectrogram 1	1	1684.583249443	1685.255249443	1800	4000	NA
9	Spectrogram 1	1	1686.210578635	1686.882578635	1800	4000	NA
10	Spectrogram 1	1	1687.750951306	1688.422951306	1800	4000	NA
11	Spectrogram 1	1	1691.555298846	1692.227298846	1800	4000	NA
12	Spectrogram 1	1	1693.213683652	1693.885683652	1800	4000	NA
13	Spectrogram 1	1	1694.536665019	1695.208665019	1800	4000	NA
14	Spectrogram 1	1	1696.714392305	1697.386392305	1800	4000	NA
15	Spectrogram 1	1	1706.608802465	1707.280802465	1800	4000	NA
16	Spectrogram 1	1	1728.397619796	1729.069619796	1800	4000	NA
