Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Label
1	Spectrogram 1	1	100.995727324	101.667727324	1500	6500	DBF
2	Spectrogram 1	1	105.210361471	105.882361471	1500	6500	DBF
3	Spectrogram 1	1	119.103047256	119.775047256	1500	6500	DBF
4	Spectrogram 1	1	123.132316501	123.804316501	1500	6500	DBF
5	Spectrogram 1	1	264.137182876	264.809182876	1500	6500	DBF
6	Spectrogram 1	1	268.371316104	269.043316104	1500	6500	DBF
7	Spectrogram 1	1	269.990828299	270.662828299	1500	6500	DBF
8	Spectrogram 1	1	274.146923457	274.818923457	1500	6500	DBF
9	Spectrogram 1	1	281.420095141	282.092095141	1500	6500	DBF
10	Spectrogram 1	1	290.293267779	290.965267779	1500	6500	DBF
11	Spectrogram 1	1	301.049368808	301.721368808	1500	6500	DBF
12	Spectrogram 1	1	304.478638053	305.150638053	1500	6500	DBF
13	Spectrogram 1	1	306.234736567	306.906736567	1500	6500	DBF
14	Spectrogram 1	1	307.62498047	308.29698047	1500	6500	DBF
15	Spectrogram 1	1	310.137175591	310.809175591	1500	6500	DBF
16	Spectrogram 1	1	311.688396056	312.360396056	1500	6500	DBF
17	Spectrogram 1	1	2531.947304805	2532.619304805	1500	6500	DBF
18	Spectrogram 1	1	3961.503583461	3962.175583461	1500	6500	DBF
19	Spectrogram 1	1	3963.493827363	3964.165827363	1500	6500	DBF
20	Spectrogram 1	1	4770.728103563	4771.400103563	1500	6500	DBF
21	Spectrogram 1	1	4772.450054782	4773.122054782	1500	6500	DBF
22	Spectrogram 1	1	4774.352494759	4775.024494759	1500	6500	DBF
