Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Label
1	Spectrogram 1	1	878.937378856	879.609378856	1500	6500	DBF
2	Spectrogram 1	1	880.249573978	880.921573978	1500	6500	DBF
3	Spectrogram 1	1	881.756891051	882.428891051	1500	6500	DBF
4	Spectrogram 1	1	1181.659393149	1182.331393149	1500	6500	DBF
5	Spectrogram 1	1	1183.630124856	1184.302124856	1500	6500	DBF
6	Spectrogram 1	1	1185.132563881	1185.804563881	1500	6500	DBF
7	Spectrogram 1	1	1186.478906665	1187.150906665	1500	6500	DBF
8	Spectrogram 1	1	1188.074028616	1188.746028616	1500	6500	DBF
9	Spectrogram 1	1	1454.044820289	1454.716820289	1500	6500	DBF
10	Spectrogram 1	1	1456.820430045	1457.492430045	1500	6500	DBF
11	Spectrogram 1	1	1458.147259313	1458.819259313	1500	6500	DBF
12	Spectrogram 1	1	1459.220430045	1459.892430045	1500	6500	DBF
13	Spectrogram 1	1	1460.674089902	1461.346089902	1500	6500	DBF
14	Spectrogram 1	1	1461.747260634	1462.419260634	1500	6500	DBF
15	Spectrogram 1	1	1463.113114292	1463.785114292	1500	6500	DBF
