Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Label
1	Spectrogram 1	1	71.571291832	72.243291832	1500	6500	BTF
2	Spectrogram 1	1	75.151780438	75.823780438	1500	6500	BTF
3	Spectrogram 1	1	76.083487755	76.755487755	1500	6500	BTF
4	Spectrogram 1	1	77.112756048	77.784756048	1500	6500	BTF
5	Spectrogram 1	1	79.683485201	80.355485201	1500	6500	BTF
6	Spectrogram 1	1	488.303048761	488.975048761	1500	6500	BTF
7	Spectrogram 1	1	697.903096788	698.575096788	1500	6500	BTF
8	Spectrogram 1	1	1043.849438032	1044.521438032	1500	6500	BTF
9	Spectrogram 1	1	1045.756755105	1046.428755105	1500	6500	BTF
10	Spectrogram 1	1	1048.81529169	1049.48729169	1500	6500	BTF
11	Spectrogram 1	1	1620.43000526	1621.10200526	1500	6500	BTF
12	Spectrogram 1	1	1623.708054041	1624.380054041	1500	6500	BTF
13	Spectrogram 1	1	1710.122695906	1710.794695906	1500	6500	BTF
14	Spectrogram 1	1	2051.142192314	2051.814192314	1500	6500	BTF
15	Spectrogram 1	1	2054.064143534	2054.736143534	1500	6500	BTF
16	Spectrogram 1	1	2055.610484997	2056.282484997	1500	6500	BTF
17	Spectrogram 1	1	2059.156827262	2059.828827262	1500	6500	BTF
18	Spectrogram 1	1	2172.488550464	2173.160550464	1500	6500	BTF
19	Spectrogram 1	1	2174.581233391	2175.253233391	1500	6500	BTF
20	Spectrogram 1	1	2175.405623635	2176.077623635	1500	6500	BTF
21	Spectrogram 1	1	2177.034889373	2177.706889373	1500	6500	BTF
22	Spectrogram 1	1	2179.9275723	2180.5995723	1500	6500	BTF
23	Spectrogram 1	1	2181.97635359	2182.64835359	1500	6500	BTF
24	Spectrogram 1	1	2234.176351223	2234.848351223	1500	6500	BTF
25	Spectrogram 1	1	2241.678791049	2242.350791049	1500	6500	BTF
26	Spectrogram 1	1	2570.127539028	2570.799539028	1500	6500	BTF
27	Spectrogram 1	1	2574.08363739	2574.75563739	1500	6500	BTF
28	Spectrogram 1	1	2576.454369098	2577.126369098	1500	6500	BTF
29	Spectrogram 1	1	2576.947052024	2577.619052024	1500	6500	BTF
30	Spectrogram 1	1	2587.464136996	2588.136136996	1500	6500	BTF
31	Spectrogram 1	1	2614.073893747	2614.745893747	1500	6500	BTF
32	Spectrogram 1	1	2685.854329595	2686.526329595	1500	6500	BTF
33	Spectrogram 1	1	2865.405572059	2866.077572059	1500	6500	BTF
34	Spectrogram 1	1	3309.503119766	3310.175119766	1500	6500	BTF
35	Spectrogram 1	1	3339.332389513	3340.004389513	1500	6500	BTF
36	Spectrogram 1	1	3648.039697268	3648.711697268	1500	6500	BTF
37	Spectrogram 1	1	3706.932389815	3707.604389815	1500	6500	BTF
38	Spectrogram 1	1	3759.26410595	3759.93610595	1500	6500	BTF
39	Spectrogram 1	1	4905.26906809	4905.94106809	1500	6500	BTF
40	Spectrogram 1	1	4907.54711687	4908.21911687	1500	6500	BTF
41	Spectrogram 1	1	4914.732484327	4915.404484327	1500	6500	BTF
42	Spectrogram 1	1	4924.459315199	4925.131315199	1500	6500	BTF
43	Spectrogram 1	1	5520.342251505	5521.014251505	1500	6500	BTF
44	Spectrogram 1	1	5522.005666139	5522.677666139	1500	6500	BTF
45	Spectrogram 1	1	5525.810544188	5526.482544188	1500	6500	BTF
46	Spectrogram 1	1	5536.14225391	5536.81425391	1500	6500	BTF
47	Spectrogram 1	1	5636.976417087	5637.648417087	1500	6500	BTF
48	Spectrogram 1	1	6208.049644069	6208.721644069	1500	6500	BTF
49	Spectrogram 1	1	6210.571595289	6211.243595289	1500	6500	BTF
50	Spectrogram 1	1	6225.361794393	6226.033794393	1500	6500	BTF
51	Spectrogram 1	1	6236.58618624	6237.25818624	1500	6500	BTF
52	Spectrogram 1	1	6249.591066694	6250.263066694	1500	6500	BTF
53	Spectrogram 1	1	6251.064237426	6251.736237426	1500	6500	BTF
54	Spectrogram 1	1	6264.761800806	6265.433800806	1500	6500	BTF
55	Spectrogram 1	1	6274.303262469	6274.975262469	1500	6500	BTF
56	Spectrogram 1	1	6276.142286859	6276.814286859	1500	6500	BTF
57	Spectrogram 1	1	6288.420338045	6289.092338045	1500	6500	BTF
58	Spectrogram 1	1	6289.883752679	6290.555752679	1500	6500	BTF
59	Spectrogram 1	1	6291.922777069	6292.594777069	1500	6500	BTF
60	Spectrogram 1	1	6305.65936484	6306.33136484	1500	6500	BTF
61	Spectrogram 1	1	6306.615462401	6307.287462401	1500	6500	BTF
62	Spectrogram 1	1	6324.347172925	6325.019172925	1500	6500	BTF
63	Spectrogram 1	1	6326.249611949	6326.921611949	1500	6500	BTF
64	Spectrogram 1	1	6333.625223308	6334.297223308	1500	6500	BTF
65	Spectrogram 1	1	6335.181320869	6335.853320869	1500	6500	BTF
66	Spectrogram 1	1	6336.942297281	6337.614297281	1500	6500	BTF
67	Spectrogram 1	1	6340.927663135	6341.599663135	1500	6500	BTF
68	Spectrogram 1	1	6343.08863619	6343.76063619	1500	6500	BTF
69	Spectrogram 1	1	6345.756929675	6346.428929675	1500	6500	BTF
70	Spectrogram 1	1	6388.244746466	6388.916746466	1500	6500	BTF
71	Spectrogram 1	1	6393.298405003	6393.970405003	1500	6500	BTF
72	Spectrogram 1	1	6813.96671678	6814.63871678	1500	6500	BTF
73	Spectrogram 1	1	6819.220376118	6819.892376118	1500	6500	BTF
74	Spectrogram 1	1	6825.22037692	6825.89237692	1500	6500	BTF
75	Spectrogram 1	1	6825.932572042	6826.604572042	1500	6500	BTF
76	Spectrogram 1	1	6827.322816746	6827.994816746	1500	6500	BTF
77	Spectrogram 1	1	6828.713060649	6829.385060649	1500	6500	BTF
78	Spectrogram 1	1	6830.439889917	6831.111889917	1500	6500	BTF
79	Spectrogram 1	1	6835.922817548	6836.594817548	1500	6500	BTF
80	Spectrogram 1	1	6908.356973361	6909.028973361	1500	6500	BTF
81	Spectrogram 1	1	6929.132586324	6929.804586324	1500	6500	BTF
