Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Label
1	Spectrogram 1	1	616.793655954	617.465655954	1500	6500	BTF
2	Spectrogram 1	1	887.359282584	888.031282584	1500	6500	BTF
3	Spectrogram 1	1	1686.172157436	1686.844157436	1500	6500	BTF
4	Spectrogram 1	1	3823.075400932	3823.747400932	1500	6500	BTF
5	Spectrogram 1	1	4301.363689236	4302.035689236	1500	6500	BTF
6	Spectrogram 1	1	4303.354160781	4304.026160781	1500	6500	BTF
7	Spectrogram 1	1	5561.396977037	5562.068977037	1500	6500	BTF
8	Spectrogram 1	1	5564.714051268	5565.386051268	1500	6500	BTF
9	Spectrogram 1	1	5567.856171875	5568.528171875	1500	6500	BTF
10	Spectrogram 1	1	5571.502670215	5572.174670215	1500	6500	BTF
11	Spectrogram 1	1	5888.962097951	5889.634097951	1500	6500	BTF
12	Spectrogram 1	1	5889.665352269	5890.337352269	1500	6500	BTF
13	Spectrogram 1	1	5890.299498611	5890.971498611	1500	6500	BTF
14	Spectrogram 1	1	5891.60437666	5892.27637666	1500	6500	BTF
15	Spectrogram 1	1	5892.91738479	5893.58938479	1500	6500	BTF
16	Spectrogram 1	1	5894.795434631	5895.467434631	1500	6500	BTF
17	Spectrogram 1	1	5896.498692288	5897.170692288	1500	6500	BTF
18	Spectrogram 1	1	5898.01088741	5898.68288741	1500	6500	BTF
19	Spectrogram 1	1	5903.592189283	5904.264189283	1500	6500	BTF
20	Spectrogram 1	1	5908.8117036	5909.4837036	1500	6500	BTF
21	Spectrogram 1	1	6419.09339759	6419.76539759	1500	6500	BTF
22	Spectrogram 1	1	6419.825104907	6420.497104907	1500	6500	BTF
23	Spectrogram 1	1	6420.625917915	6421.297917915	1500	6500	BTF
24	Spectrogram 1	1	6421.398275638	6422.070275638	1500	6500	BTF
25	Spectrogram 1	1	6422.073079861	6422.745079861	1500	6500	BTF
26	Spectrogram 1	1	6423.875746528	6424.547746528	1500	6500	BTF
27	Spectrogram 1	1	6551.145189866	6551.817189866	1500	6500	BTF
28	Spectrogram 1	1	7036.481987847	7037.153987847	1500	6500	BTF
